ideologia,partido_final,partido_final_centro
PT POCO,PT,PT
NINGUNO,QUITAR,CENTRO
PRI POCO,PRI,PRI
PRD MUCHO,PRD,PRD
PAN POCO,PAN,PAN
PAN MUCHO,PAN,PAN
PRI MUCHO,PRI,PRI
NS/NC,QUITAR,CENTRO
PVEM MUCHO,PVEM,PVEM
PRD POCO,PRD,PRD
NUEVA ALIANZA MUCHO,PANAL,PANAL
MOV. CIUDADANO POCO,MC,MC
MOV. CIUDADANO MUCHO,MC,MC
PVEM POCO,PVEM,PVEM
NUEVA ALIANZA POCO,PANAL,PANAL
PT MUCHO,PT,PT
NINGUNO (ESP.),QUITAR,CENTRO
NS/NC (ESP),QUITAR,CENTRO
MOV CIUDADANO MUCHO,MC,MC
NO SE IDENTIFICA CON NINGÚN PARTIDO,QUITAR,CENTRO
PRIÍSTA,PRI,PRI
PANISTA,PAN,PAN
NC,QUITAR,CENTRO
DE OTRO PARTIDO,QUITAR,CENTRO
PERREDISTA,PRD,PRD
NS,QUITAR,CENTRO
ALGO PANISTA,PAN,PAN
ALGO PERREDISTA,PRD,PRD
MUY PRIÍSTA,PRI,PRI
MUY PANISTA,PAN,PAN
ALGO PRIÍSTA,PRI,PRI
MUY PERREDISTA,PRD,PRD
MUY PANAL,PANAL,PANAL
MUY VERDE-ECOLOGISTA,PVEM,PVEM
OTRO,QUITAR,CENTRO
ALGO VERDE-ECOLOGISTA,PVEM,PVEM
ENRIQUE PEÑA NIETO DEL PRI,PRI,PRI
ANULADO O BLANCO,QUITAR,CENTRO
JOSEFINA EUGENIA  VÁZQUEZ MOTA DEL PAN,PAN,PAN
ANDRÉS MANUEL LÓPEZ OBRADOR DEL PRD,PRD,PRD
ENRIQUE PEÑA NIETO DEL PVEM,PVEM,PVEM
GABRIEL RICARDO QUADRI DE LA TORRE DE PANAL,PANAL,PANAL
ANDRÉS MANUEL LÓPEZ OBRADOR DE MC,MC,MC
ANDRÉS MANUEL LÓPEZ OBRADOR DEL PT,PT,PT
NO VOY A VOTAR/ NUNCA VOTO,QUITAR,CENTRO
NINGUNO /NO SE IDENTIFICA CON NINGÚN PARTIDO,QUITAR,CENTRO
PT,PT,PT
PVEM,PVEM,PVEM
MOVIMIENTO CIUDADANO (CONVERGENCIA),MC,MC
PANAL / NUEVA ALIANZA,PANAL,PANAL
PRIISTA,PRI,PRI
N/C,QUITAR,CENTRO
N/S,QUITAR,CENTRO
PRD-PT-MC,PRD-PT-MC,PRD-PT-MC
PRI-VERDE,PRI-PVEM,PRI-PVEM
PAN,PAN,PAN
NO IRÁ A VOTAR,QUITAR,CENTRO
NO CONTESTÓ,QUITAR,CENTRO
NO SABE (INDECISO),QUITAR,CENTRO
EL VOTO ES SECRETO,QUITAR,CENTRO
IRÁ A VOTAR PEOR ANULARÁ SU VOTO (NINGUNO),QUITAR,CENTRO
PANAL (NUEVA ALIANZA),PANAL,PANAL
PRD,PRD,PRD
NO QUIERE CONTESTAR,QUITAR,CENTRO
PRI,PRI,PRI
CONVERGENCIA/MOVIMIENTO CIUDADANO,MC,MC
NUEVA ALIANZA,PANAL,PANAL
NINGUNO (ESP),QUITAR,CENTRO
PRD (ESP),PRD,PRD
PAN (ESP),PAN,PAN
MC MUCHO,MC,MC
PRI (ESP),PRI,PRI
NUEVA ALIANZA (ESP),PANAL,PANAL
PVEM (ESP),PVEM,PVEM
NO SABE,QUITAR,CENTRO
MOVIMIENTO CIUDADANO,MC,MC
NINGUNO (INDEPENDIENTE),QUITAR,CENTRO
MOV. CIUDADANO,MC,MC
MUY PRIISTA,PRI,PRI
ALGO PRIISTA,PRI,PRI
MORENA,MORENA,MORENA
NO DICE,QUITAR,CENTRO
PARTIDO VERDE,PVEM,PVEM
HUMANISTA,PH,PH
ENCUENTRO SOCIAL,PES,PES
NO CONTESTO,QUITAR,CENTRO
PVEM (PARTIDO VERDE),PVEM,PVEM
PRI ALGO,PRI,PRI
PAN ALGO,PAN,PAN
MORENA (EL PARTIDO DE LOPEZ OBRADOR),MORENA,MORENA
PRD ALGO,PRD,PRD
PH (PARTIDO HUMANISTA),PH,PH
PES (PARTIDO ENCUENTRO SOCIAL),PES,PES
MORENA MUCHO,MORENA,MORENA
PSD MUCHO,QUITAR,CENTRO
MORENA POCO,MORENA,MORENA
MOVIMIENTO CIUDADANO POCO,MC,MC
MOVIMIENTO CIUDADANO MUCHO,MC,MC
PSD POCO,QUITAR,CENTRO
PH MUCHO,PH,PH
PES MUCHO,PES,PES
MC POCO,MC,MC
PNA MUCHO,PANAL,PANAL
PNA POCO,PANAL,PANAL
PH POCO,PH,PH
PES POCO,PES,PES
NO SABE O NO RESPONDE O NO QUIERE DECIR,QUITAR,CENTRO
PH,PH,PH
PNA,PANAL,PANAL
MC,MC,MC
ALGO DEL MOVIMIENTO CIUDADANO,MC,MC
ALGO PETISTA,PT,PT
ALGO DE MORENA,MORENA,MORENA
MUY DEL MOVIMIENTO CIUDADANO,MC,MC
MUY DEL VERDE,PVEM,PVEM
ALGO PES,PES,PES
ALGO DEL VERDE,PVEM,PVEM
MUY DE MORENA,MORENA,MORENA
MUY PES,PES,PES
ALGO DE NUEVA ALIANZA,PANAL,PANAL
MUY DE NUEVA ALIANZA,PANAL,PANAL
MUY PETISTA,PT,PT
ALIANZA MORENA-PT-PES,PT-MORENA-PES,PT-MORENA-PES
ALIANZA PAN-PRD-MC,PAN-PRD-MC,PAN-PRD-MC
ALIANZA PRI-PVEM-PNA,PRI-PVEM-PANAL,PRI-PVEM-PANAL
CANDIDATO INDEPENDIENTE,QUITAR,CENTRO
ANULARÍA SU VOTO,QUITAR,CENTRO
PARTIDO VERDE (PVEM),PVEM,PVEM
MOVIMIENTO CIUDADANO (MC),MC,MC
NR,QUITAR,CENTRO
PARTIDO DEL TRABAJO (PT),PT,PT
PARTIDO ENCUENTRO SOCIAL (PES),PES,PES
OTRO PARTIDO,QUITAR,CENTRO
NUEVA ALIANZA (PANAL),PANAL,PANAL
NSNC,QUITAR,CENTRO
NS / NC,QUITAR,CENTRO
NO SABE/NO CONTESTÓ,QUITAR,CENTRO
PARTIDO ENCUENTRO SOCIAL,PES,PES
INDEPENDIENTE,QUITAR,CENTRO
NS (ESP.),QUITAR,CENTRO
PARTIDO ENCUENTRO SOCIAL MUCHO,PES,PES
OTRO (ESP.),QUITAR,CENTRO
NC (ESP.),QUITAR,CENTRO
RICARDO ANAYA/PAN-PRD-MC,PAN-PRD-MC,PAN-PRD-MC
JOSÉ ANTONIO MEADE/PRI-PVEM-NA,PRI-PVEM-PANAL,PRI-PVEM-PANAL
ANDRÉS MANUEL LÓPEZ OBRADOR/MORENA-PT-PES,PT-MORENA-PES,PT-MORENA-PES
MARGARITA ZAVALA/INDEPENDIENTE,PAN,PAN
JAIME RODRÍGUEZ BRONCO/INDEPENDIENTE,QUITAR,CENTRO
ARMANDO RÍOS PETER/INDEPENDIENTE,QUITAR,CENTRO
PT ALGO,PT,PT
MORENA ALGO,MORENA,MORENA
MC ALGO,MC,MC
PVEM ALGO,PVEM,PVEM
NUEVA ALIANZA ALGO,PANAL,PANAL
PES ALGO,PES,PES
"RICARDO ANAYA CORTÉS, PAN-PRD-MC",PAN-PRD-MC,PAN-PRD-MC
"JOSÉ ANTONIO MEADE KURIBREÑA, PRI-PVEM-NA",PRI-PVEM-PANAL,PRI-PVEM-PANAL
"ANDRÉS MANUEL LÓPEZ OBRADOR, MORENA-PT-PES",PT-MORENA-PES,PT-MORENA-PES
NS/NC/NULOS,QUITAR,CENTRO
"MARGARITA ZAVALA, INDEPENDIENTE",PAN,PAN
"JOSÉ ANTONIO MEADE KURIBREÑA, PRI-PVEM-PANAL",PRI-PVEM-PANAL,PRI-PVEM-PANAL
MORENA - POCO,MORENA,MORENA
PARTIDO REVOLUCIONARIO INSTITUCIONAL (PRI) - MUCHO,PRI,PRI
PARTIDO VERDE ECOLOGISTA DE MÉXICO (PVEM) - POCO,PVEM,PVEM
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA (PRD) - MUCHO,PRD,PRD
PARTIDO ENCUENTRO SOCIAL (PES) - POCO,PES,PES
PARTIDO VERDE ECOLOGISTA DE MÉXICO (PVEM) - MUCHO,PVEM,PVEM
PARTIDO REVOLUCIONARIO INSTITUCIONAL (PRI) - POCO,PRI,PRI
MORENA- MUCHO,MORENA,MORENA
MOVIMIENTO CIUDADANO (MC) - MUCHO,MC,MC
PARTIDO ACCIÓN NACIONAL (PAN) - MUCHO,PAN,PAN
PARTIDO ACCIÓN NACIONAL (PAN) - POCO,PAN,PAN
PARTIDO NUEVA ALIANZA (PANAL) - MUCHO,PANAL,PANAL
MOVIMIENTO CIUDADANO (MC) - POCO,MC,MC
PARTIDO NUEVA ALIANZA (PANAL) - POCO,PANAL,PANAL
PARTIDO DEL TRABAJO (PT) - MUCHO,PT,PT
PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA (PRD) - POCO,PRD,PRD
PARTIDO DEL TRABAJO (PT) - POCO,PT,PT
PARTIDO ENCUENTRO SOCIAL (PES) - MUCHO,PES,PES
MOVIMIENTO REGENERACIÓN NACIONAL (MORENA) - MUCHO,MORENA,MORENA
