percepcion,ideologia,KEY
Desacuerdo en parte,Panista,2_4
Acuerdo en parte,Perredista,2_4
Acuerdo en parte,No se identifica con ningún partido,5_18
Desacuerdo en parte,Priista,5_18
Desacuerdo,Priista,5_18
Acuerdo en parte,No se identifica con ningún partido,5_20
Desacuerdo en parte,No se identifica con ningún partido,5_20
Desacuerdo,No se identifica con ningún partido,5_20
Acuerdo en parte,No se identifica con ningún partido,5_30
Acuerdo en parte,No se identifica con ningún partido,5_30
Acuerdo en parte,No se identifica con ningún partido,5_30
Acuerdo en parte,Priista,5_35
Acuerdo en parte,Priista,7_18
Acuerdo,Priista,7_18
Acuerdo,No se identifica con ningún partido,7_18
Acuerdo,Panista,8_19
Desacuerdo,Priista,8_19
Desacuerdo,Priista,8_19
Acuerdo en parte,Perredista,9_2
Desacuerdo,No se identifica con ningún partido,9_5
Desacuerdo,No se identifica con ningún partido,9_5
Desacuerdo en parte,Priista,9_5
Desacuerdo,Perredista,9_8
Desacuerdo,Perredista,9_13
Desacuerdo,Priista,9_13
Acuerdo,No se identifica con ningún partido,11_14
Desacuerdo,No se identifica con ningún partido,11_14
Desacuerdo en parte,No se identifica con ningún partido,11_14
Desacuerdo en parte,No se identifica con ningún partido,11_14
Desacuerdo,No se identifica con ningún partido,11_15
Acuerdo en parte,Panista,11_15
Desacuerdo en parte,No se identifica con ningún partido,11_33
Acuerdo,No se identifica con ningún partido,11_33
Desacuerdo en parte,Priista,12_74
Desacuerdo,Priista,12_74
Desacuerdo,Priista,12_74
Desacuerdo,No se identifica con ningún partido,12_74
Desacuerdo en parte,Panista,13_36
Desacuerdo,Priista,13_36
Desacuerdo en parte,Panista,13_72
Desacuerdo,No se identifica con ningún partido,13_72
Desacuerdo,Priista,13_72
Desacuerdo,Perredista,13_72
Acuerdo en parte,Priista,14_39
Acuerdo en parte,No se identifica con ningún partido,14_39
N/C,No se identifica con ningún partido,14_101
Desacuerdo en parte,De otro partido,14_101
Acuerdo,Panista,14_119
Desacuerdo,No se identifica con ningún partido,14_120
Desacuerdo,No se identifica con ningún partido,14_120
Acuerdo en parte,No se identifica con ningún partido,15_23
Acuerdo en parte,N/C,15_23
Desacuerdo en parte,No se identifica con ningún partido,15_23
Desacuerdo en parte,No se identifica con ningún partido,15_58
Desacuerdo,No se identifica con ningún partido,15_58
Desacuerdo en parte,Perredista,15_58
Acuerdo en parte,No se identifica con ningún partido,15_58
Desacuerdo,No se identifica con ningún partido,15_58
Acuerdo en parte,Perredista,15_58
Acuerdo en parte,No se identifica con ningún partido,15_106
Desacuerdo en parte,No se identifica con ningún partido,15_106
Desacuerdo en parte,No se identifica con ningún partido,15_106
Desacuerdo,No se identifica con ningún partido,15_106
Desacuerdo en parte,Priista,15_109
Acuerdo,Priista,15_109
Desacuerdo,No se identifica con ningún partido,16_30
Desacuerdo,Priista,16_30
Desacuerdo,No se identifica con ningún partido,16_50
Acuerdo,Panista,16_50
Acuerdo en parte,Priista,16_74
Desacuerdo,No se identifica con ningún partido,16_74
Acuerdo en parte,No se identifica con ningún partido,19_26
N/S,No se identifica con ningún partido,19_26
Desacuerdo en parte,No se identifica con ningún partido,19_26
Desacuerdo en parte,No se identifica con ningún partido,19_39
Acuerdo,Panista,20_67
Acuerdo en parte,Perredista,20_67
Acuerdo en parte,No se identifica con ningún partido,20_324
Acuerdo en parte,No se identifica con ningún partido,21_41
Acuerdo en parte,No se identifica con ningún partido,21_58
Desacuerdo en parte,No se identifica con ningún partido,21_58
Acuerdo en parte,Panista,21_58
Acuerdo en parte,Perredista,21_94
Acuerdo,Perredista,23_5
Desacuerdo,Priista,23_5
Acuerdo,Panista,24_35
Acuerdo,Panista,24_35
Acuerdo en parte,No se identifica con ningún partido,24_42
Desacuerdo en parte,Perredista,24_42
Acuerdo,Panista,25_6
Desacuerdo en parte,Panista,25_6
Desacuerdo,Priista,25_6
Desacuerdo en parte,Panista,25_12
Acuerdo en parte,No se identifica con ningún partido,26_2
Acuerdo,No se identifica con ningún partido,29_33
Acuerdo en parte,Panista,30_40
Acuerdo,No se identifica con ningún partido,30_40
Acuerdo,No se identifica con ningún partido,30_90
Desacuerdo,Perredista,30_108
Acuerdo en parte,Priista,30_92
Acuerdo,Panista,30_92
Acuerdo,Priista,31_50
Acuerdo en parte,Panista,31_50
Desacuerdo,Perredista,2_4
Acuerdo en parte,Perredista,2_4
Acuerdo en parte,Panista,2_4
Acuerdo en parte,Priista,2_4
Desacuerdo,No se identifica con ningún partido,5_18
Desacuerdo en parte,No se identifica con ningún partido,5_18
Acuerdo en parte,De otro partido,5_18
Acuerdo en parte,Panista,5_18
Acuerdo,No se identifica con ningún partido,5_20
Desacuerdo en parte,Priista,5_20
Desacuerdo en parte,Priista,5_20
Desacuerdo en parte,No se identifica con ningún partido,5_20
Desacuerdo en parte,No se identifica con ningún partido,5_30
Acuerdo en parte,Priista,5_30
Acuerdo en parte,No se identifica con ningún partido,5_30
Acuerdo,No se identifica con ningún partido,5_35
Desacuerdo en parte,No se identifica con ningún partido,5_35
Acuerdo,Panista,5_35
Acuerdo,Panista,5_35
Acuerdo en parte,Perredista,7_18
Acuerdo,Priista,7_18
Acuerdo,Priista,7_18
Acuerdo en parte,Priista,7_18
Acuerdo,Priista,7_18
Desacuerdo,Priista,8_19
Desacuerdo,Priista,8_19
Acuerdo,Priista,8_19
Desacuerdo,Priista,8_19
Desacuerdo,Priista,8_19
Desacuerdo,Priista,8_19
Desacuerdo,Priista,8_19
Desacuerdo,Priista,9_2
Desacuerdo,N/S,9_2
Acuerdo en parte,Perredista,9_2
Desacuerdo,Priista,9_2
Desacuerdo,N/C,9_2
Desacuerdo,Priista,9_5
Acuerdo en parte,Panista,9_5
Desacuerdo,Priista,9_8
Desacuerdo,Perredista,9_8
Desacuerdo,Priista,9_13
Desacuerdo en parte,Priista,9_13
Acuerdo,Priista,9_13
Acuerdo en parte,No se identifica con ningún partido,9_17
Desacuerdo,No se identifica con ningún partido,11_14
Acuerdo en parte,Panista,11_14
Desacuerdo,Panista,11_14
Acuerdo en parte,No se identifica con ningún partido,11_15
Acuerdo,No se identifica con ningún partido,11_15
Desacuerdo,Panista,11_15
Acuerdo,Panista,11_15
Acuerdo en parte,Panista,11_33
Acuerdo,No se identifica con ningún partido,11_33
Acuerdo en parte,No se identifica con ningún partido,11_33
Acuerdo,Panista,12_74
Acuerdo en parte,Perredista,12_74
Desacuerdo,Priista,12_74
Desacuerdo,Priista,12_74
Desacuerdo,Perredista,12_74
Desacuerdo,Perredista,12_74
Acuerdo en parte,Priista,13_36
Acuerdo,Priista,13_36
Desacuerdo,Perredista,13_72
Desacuerdo,Perredista,13_72
Acuerdo,No se identifica con ningún partido,13_72
Acuerdo,No se identifica con ningún partido,13_72
Desacuerdo en parte,Panista,13_72
Desacuerdo en parte,Priista,14_39
Acuerdo en parte,Priista,14_39
Desacuerdo en parte,No se identifica con ningún partido,14_39
Acuerdo en parte,Panista,14_39
Desacuerdo en parte,Priista,14_39
Desacuerdo en parte,Priista,14_39
