percepcion,ideologia,KEY
Desacuerdo,PAN,2_1
Desacuerdo en parte,Ns/Nc,2_4
Acuerdo,PRD,27_2
Acuerdo,PRI,27_4
Desacuerdo,PAN,30_15
Desacuerdo,Ns/Nc,7_96
Acuerdo,PRI,13_56
Ns/Nc,Ns/Nc,2_4
Desacuerdo,Ns/Nc,11_2
Acuerdo,PRI,27_2
Desacuerdo,MORENA,30_15
Acuerdo en parte,PRI,13_48
Acuerdo en parte,PRI,13_83
Ns/Nc,Ns/Nc,16_94
Desacuerdo,Ns/Nc,25_6
Desacuerdo en parte,Margarita Zavala,25_6
Acuerdo,Ns/Nc,8_21
Desacuerdo,MORENA,26_18
Desacuerdo,PAN,14_39
Acuerdo,Margarita Zavala,8_37
Desacuerdo en parte,Ns/Nc,24_7
Desacuerdo,PAN,27_4
Desacuerdo,MORENA,20_67
Desacuerdo,Ns/Nc,7_87
Desacuerdo,MORENA,20_300
Desacuerdo,Ns/Nc,20_338
Desacuerdo,MORENA,21_34
Desacuerdo,MORENA,12_39
Desacuerdo,Nueva Alianza,12_39
Desacuerdo en parte,Ns/Nc,9_10
Ns/Nc,Ns/Nc,16_88
Desacuerdo,Ns/Nc,15_57
Ns/Nc,MORENA,10_5
Ns/Nc,MORENA,26_42
Acuerdo,PRI,25_11
Desacuerdo,PAN,14_120
Desacuerdo,PRI,14_120
Desacuerdo,Ns/Nc,1_1
Desacuerdo,MORENA,20_68
Desacuerdo,Ns/Nc,20_68
Desacuerdo,Ns/Nc,7_87
Desacuerdo,MORENA,30_87
Desacuerdo,MORENA,12_1
Desacuerdo en parte,MORENA,9_5
Desacuerdo en parte,MORENA,9_10
Desacuerdo,Ns/Nc,9_12
Desacuerdo en parte,PRI,9_12
Desacuerdo,PAN,6_7
Desacuerdo,Pedro Ferriz de Con,15_31
Ns/Nc,Ns/Nc,16_94
Desacuerdo,Pedro Ferriz de Con,15_70
Desacuerdo,MORENA,15_104
Desacuerdo,MORENA,26_18
Desacuerdo,PAN,24_28
Desacuerdo,Ns/Nc,20_300
Desacuerdo,MORENA,30_87
Acuerdo,PAN,20_338
Acuerdo,PAN,29_5
Desacuerdo,Ns/Nc,17_22
Desacuerdo en parte,Ns/Nc,9_5
Desacuerdo en parte,PRD,9_5
Desacuerdo,PAN,13_83
Acuerdo,Armando Rios Piter,15_99
Desacuerdo,PAN,14_9
Desacuerdo,PAN,14_101
Acuerdo,Margarita Zavala,32_40
Desacuerdo,Ns/Nc,7_101
Desacuerdo,PAN,30_87
Desacuerdo,MORENA,21_17
Ns/Nc,PAN,21_17
Desacuerdo,Ns/Nc,9_3
Desacuerdo,MORENA,12_28
Desacuerdo,PRI,15_19
Desacuerdo,Ns/Nc,15_31
Desacuerdo,Ns/Nc,15_96
Desacuerdo en parte,PAN,15_104
Desacuerdo,Movimiento Ciudadano,14_9
Desacuerdo,Ns/Nc,14_39
Desacuerdo,MORENA,8_37
Desacuerdo,PAN,28_28
Desacuerdo,PAN,32_40
Acuerdo,PRI,23_5
Desacuerdo,Ns/Nc,30_14
Desacuerdo,PAN,30_15
Acuerdo,PRI,20_67
Desacuerdo,MORENA,20_68
Desacuerdo,Ns/Nc,7_101
Desacuerdo,Ns/Nc,30_124
Desacuerdo en parte,Ns/Nc,9_5
Desacuerdo,Armando Rios Piter,12_49
Desacuerdo,MORENA,13_56
Desacuerdo,Ns/Nc,15_33
Desacuerdo,Ns/Nc,15_124
Desacuerdo,Ns/Nc,8_21
Desacuerdo,PAN,25_6
Acuerdo en parte,PRI,11_17
Desacuerdo en parte,PRD,5_35
Acuerdo en parte,PRI,19_46
Desacuerdo,Ns/Nc,30_87
Acuerdo en parte,PRI,29_5
Desacuerdo,MORENA,29_5
Desacuerdo,MORENA,9_3
