percepcion,ideologia,KEY
Aprueba,MORENA,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,PRI,30_39
Aprueba,Ninguno,30_39
Desaprueba,PRI,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Aprueba,MORENA,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Aprueba,Ninguno,30_39
Desaprueba,PAN,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguna,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,PRI,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,PAN,30_39
Aprueba,Ninguna,30_39
Aprueba,MORENA,30_39
Desaprueba,PRI,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Aprueba,MORENA,30_39
Aprueba,MORENA,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,PAN,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,PRI,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,PRI,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,PRI,30_39
Aprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Desaprueba,Ninguno,30_39
Desaprueba,MORENA,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Aprueba,MORENA,30_39
Aprueba,MORENA,30_39
Aprueba,Ninguno,30_39
Desaprueba,PRI,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,PRI,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,PAN,30_39
Aprueba,MORENA,30_39
Aprueba,MORENA,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,PRI,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Desaprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,PAN,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,MORENA,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,PRI,30_39
Desaprueba,PAN,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Desaprueba,Ninguno,30_39
Aprueba,Ninguno,30_39
Aprueba,Ninguna,30_39
