KEY,percepcion,ideologia
15_11,Que siga gobernando MORENA,PRI - Partido Revolucionario Institucional
16_54,Que siga gobernando MORENA,MORENA
16_54,Que siga gobernando MORENA,MORENA
15_11,Que haya un cambio de partido en el gobierno,MORENA
15_11,Que siga gobernando MORENA,MORENA
13_28,Que haya un cambio de partido en el gobierno,MORENA
13_28,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
13_28,Que siga gobernando MORENA,MORENA
13_28,Que siga gobernando MORENA,MORENA
13_28,Que siga gobernando MORENA,MORENA
13_28,Que haya un cambio de partido en el gobierno,MORENA
13_28,Que haya un cambio de partido en el gobierno,MORENA
13_28,Que siga gobernando MORENA,MORENA
13_28,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
13_28,Que siga gobernando MORENA,MORENA
16_54,No sabe / No respondió,PAN - Partido Acción Nacional
16_54,No sabe / No respondió,MORENA
29_14,Que siga gobernando MORENA,MORENA
15_11,Que haya un cambio de partido en el gobierno,MORENA
29_14,Que haya un cambio de partido en el gobierno,PVEM – Partido Verde Ecologista de México
16_54,Que siga gobernando MORENA,MORENA
29_14,Que siga gobernando MORENA,MORENA
31_101,Que haya un cambio de partido en el gobierno,MORENA
29_14,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
29_14,Que siga gobernando MORENA,MORENA
16_54,Que siga gobernando MORENA,MORENA
29_14,Que siga gobernando MORENA,Ninguno
15_11,Que siga gobernando MORENA,MORENA
31_101,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
29_14,Que haya un cambio de partido en el gobierno,PVEM – Partido Verde Ecologista de México
16_54,No sabe / No respondió,Ninguno
16_54,No sabe / No respondió,Ninguno
29_14,Que siga gobernando MORENA,Ninguno
31_101,Que siga gobernando MORENA,MORENA
15_34,Que siga gobernando MORENA,MORENA
16_54,No sabe / No respondió,MORENA
15_34,Que siga gobernando MORENA,MORENA
31_101,No sabe / No respondió,MORENA
28_9,Que siga gobernando MORENA,MORENA
15_11,Que siga gobernando MORENA,MORENA
15_34,Que siga gobernando MORENA,MORENA
15_34,Que haya un cambio de partido en el gobierno,Ninguno
21_115,Que siga gobernando MORENA,MORENA
21_115,Que siga gobernando MORENA,PAN - Partido Acción Nacional
15_34,Que haya un cambio de partido en el gobierno,MORENA
15_11,Que siga gobernando MORENA,MORENA
29_14,Que siga gobernando MORENA,MORENA
29_14,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
21_115,Que siga gobernando MORENA,MORENA
28_9,Que siga gobernando MORENA,MORENA
14_99,Que siga gobernando MORENA,MORENA
15_34,Que siga gobernando MORENA,MORENA
15_34,Que siga gobernando MORENA,PRI - Partido Revolucionario Institucional
15_11,Que siga gobernando MORENA,MORENA
15_34,Que siga gobernando MORENA,MORENA
14_99,Que siga gobernando MORENA,MORENA
15_34,Que siga gobernando MORENA,MORENA
21_115,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
14_99,Que haya un cambio de partido en el gobierno,PT- Partido del Trabajo
21_115,Que siga gobernando MORENA,MORENA
15_34,Que siga gobernando MORENA,MORENA
15_34,Que haya un cambio de partido en el gobierno,MORENA
15_34,Que haya un cambio de partido en el gobierno,Ninguno
15_58,Que siga gobernando MORENA,MORENA
21_115,Que siga gobernando MORENA,MORENA
15_34,Que haya un cambio de partido en el gobierno,MORENA
28_9,Que haya un cambio de partido en el gobierno,MORENA
15_58,Que siga gobernando MORENA,MORENA
21_115,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
15_34,Que siga gobernando MORENA,PAN - Partido Acción Nacional
15_11,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
14_99,Que haya un cambio de partido en el gobierno,MC - Movimiento Ciudadano
15_58,Que siga gobernando MORENA,MORENA
28_9,Que siga gobernando MORENA,MORENA
15_34,Que siga gobernando MORENA,MORENA
15_110,Que siga gobernando MORENA,MORENA
15_58,Que haya un cambio de partido en el gobierno,Ninguno
14_99,Que siga gobernando MORENA,MORENA
15_11,Que siga gobernando MORENA,MORENA
5_25,Que siga gobernando MORENA,MORENA
31_101,Que siga gobernando MORENA,MORENA
21_115,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
8_37,Que siga gobernando MORENA,MORENA
28_9,Que siga gobernando MORENA,MORENA
8_37,Que siga gobernando MORENA,MORENA
21_115,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
21_115,Que siga gobernando MORENA,MORENA
