SbjNum,SECC,Edad,Sexo,CREDENCIAL,P2,P3A,P3B,P3C,P4,P5A,ideologia,P5B,P5C,P6,P7,percepcion,P8,PESOF,entidad,KEY
196232448,6,39,2,1,2,-1,-1,-1,2,1,MORENA,2,-1,7,1,Aprueba,1,4006.58,11,11_1
196233006,6,31,2,1,1,1,1,1,1,1,MORENA,1,-1,1,1,Aprueba,1,5127.97,11,11_1
196233479,6,33,1,1,1,1,-1,-1,1,1,MORENA,3,-1,7,1,Aprueba,2,6228.51,11,11_1
196234418,6,59,2,1,2,-1,-1,-1,2,1,MORENA,1,-1,2,1,Aprueba,1,6581.94,11,11_1
196131304,71,29,2,1,1,-1,-1,-1,1,1,MORENA,1,-1,1,1,Aprueba,1,6004.83,11,11_2
196131407,71,70,1,1,7,-1,2,-1,7,2,MORENA,3,-1,7,1,Aprueba,99,6324.02,11,11_2
196131689,71,49,2,1,95,-1,-1,-1,95,3,NS,-1,-1,95,1,Aprueba,1,3851.72,11,11_2
196131784,71,34,1,1,7,-1,1,-1,1,2,MORENA,1,-1,7,2,Desaprueba,99,5392.2,11,11_2
196132187,71,47,2,1,7,-1,1,-1,7,1,MORENA,1,-1,7,1,Aprueba,1,3588.2,11,11_2
196132777,71,36,1,1,7,2,1,-1,7,1,MORENA,1,2,7,1,Aprueba,1,5618.26,11,11_2
196165601,146,30,2,1,7,-1,2,-1,7,1,MORENA,2,-1,7,1,Aprueba,2,3370.82,11,11_3
196173607,146,18,2,1,7,-1,-1,-1,1,1,MORENA,1,-1,7,1,Aprueba,99,3411.59,11,11_3
196173043,146,49,1,1,1,2,2,2,1,1,MORENA,1,-1,95,2,Desaprueba,1,2885.11,11,11_3
196175523,146,42,1,1,95,-1,-1,-1,95,2,MORENA,3,-1,95,2,Desaprueba,2,3446.21,11,11_3
196175734,146,50,1,1,1,-1,-1,99,2,3,NS,1,-1,1,2,Desaprueba,2,2494.8,11,11_3
196132749,163,61,1,1,2,2,-1,-1,1,2,MORENA,1,-1,1,2,Desaprueba,2,3947.09,11,11_3
196136338,163,18,1,1,1,2,-1,-1,2,1,MORENA,-1,-1,7,1,Aprueba,1,4031.1,11,11_3
196132117,163,50,2,1,7,99,99,-1,7,1,MORENA,2,-1,7,1,Aprueba,2,2560.7,11,11_3
196158869,163,62,1,1,99,-1,-1,-1,2,1,MORENA,2,-1,2,1,Aprueba,2,3562.7,11,11_3
196155061,163,40,1,1,7,-1,-1,-1,7,2,MORENA,2,-1,7,1,Aprueba,2,3210.44,11,11_3
196156749,163,62,2,1,1,99,99,99,1,3,NS,1,99,1,2,Desaprueba,1,5045.3,11,11_3
196161203,163,36,1,1,7,2,-1,-1,7,1,MORENA,3,2,7,1,Aprueba,2,2772.09,11,11_3
196160368,163,38,2,1,7,-1,-1,-1,7,1,MORENA,2,-1,7,1,Aprueba,99,2982.34,11,11_3
196126010,172,68,2,1,1,-1,-1,-1,1,1,MORENA,2,-1,2,1,Aprueba,1,5045.3,11,11_3
196126170,172,18,2,1,95,-1,-1,-1,95,1,MORENA,1,-1,95,1,Aprueba,99,3662.14,11,11_3
196126801,172,31,2,1,2,-1,-1,-1,2,1,MORENA,1,-1,7,2,Desaprueba,1,4008.78,11,11_3
196128943,172,59,1,1,7,99,1,-1,7,1,MORENA,1,99,7,1,Aprueba,1,3318.95,11,11_3
196128300,172,29,1,1,7,1,2,-1,7,1,MORENA,-1,-1,7,1,Aprueba,1,3526.27,11,11_3
196128944,172,39,2,1,2,-1,-1,-1,2,1,MORENA,-1,-1,7,1,Aprueba,1,3546.77,11,11_3
196129181,172,35,2,1,6,-1,-1,-1,1,1,MORENA,3,-1,6,2,Desaprueba,2,3178.76,11,11_3
196216153,208,63,2,1,3,1,-1,-1,3,1,MORENA,3,-1,2,1,Aprueba,1,4378.25,11,11_3
196222480,208,54,2,1,7,2,1,-1,7,1,MORENA,1,-1,7,1,Aprueba,1,2381.18,11,11_3
196216211,208,24,2,1,7,-1,-1,-1,7,1,MORENA,-1,-1,7,1,Aprueba,99,3172.42,11,11_3
196217464,208,36,2,1,1,-1,-1,-1,1,1,MORENA,1,-1,4,1,Aprueba,1,3194.33,11,11_3
196222481,208,65,1,1,7,3,-1,-1,7,1,MORENA,3,-1,7,1,Aprueba,2,3086.27,11,11_3
196220780,208,50,1,1,95,-1,-1,-1,95,99,NS,-1,-1,95,99,NS,99,2162.01,11,11_3
196222332,208,20,1,1,1,1,1,1,1,1,MORENA,1,-1,7,1,Aprueba,1,3748.49,11,11_3
196110554,239,50,1,1,95,-1,-1,-1,95,99,NS,-1,-1,99,99,NS,99,2162.01,11,11_3
196112725,239,48,1,1,4,-1,-1,-1,7,2,MORENA,-1,-1,7,1,Aprueba,2,2503.45,11,11_3
196115927,239,49,2,1,6,-1,2,-1,6,99,NS,1,-1,2,2,Desaprueba,99,2970.31,11,11_3
196122720,239,40,2,1,7,2,-1,-1,7,1,MORENA,99,-1,7,1,Aprueba,1,3900.58,11,11_3
196121465,239,45,2,1,7,-1,1,-1,5,1,MORENA,-1,-1,7,1,Aprueba,2,2786.77,11,11_3
196120330,239,50,1,1,7,2,2,-1,7,1,MORENA,99,-1,7,1,Aprueba,2,2014.1,11,11_3
196124560,239,32,2,1,2,-1,-1,-1,2,1,MORENA,2,-1,7,1,Aprueba,1,3727.74,11,11_3
196115917,252,26,1,1,6,-1,-1,99,6,1,MORENA,1,-1,5,99,NS,99,3295.09,11,11_4
196117436,252,40,1,1,7,-1,-1,-1,7,1,MORENA,3,-1,7,1,Aprueba,1,3988.94,11,11_4
196119441,252,46,2,1,6,-1,-1,-1,6,1,MORENA,1,-1,6,1,Aprueba,99,3436,11,11_4
196121081,252,45,1,1,4,1,2,2,6,2,MORENA,1,-1,1,99,NS,99,4102.8,11,11_4
196126991,265,44,1,1,95,-1,-1,-1,95,1,MORENA,3,-1,7,1,Aprueba,2,4766.07,11,11_4
196127156,265,66,2,1,7,-1,-1,-1,7,1,MORENA,2,-1,7,1,Aprueba,1,7546.44,11,11_4
196127026,265,72,1,1,1,-1,-1,-1,1,1,MORENA,-1,-1,7,1,Aprueba,2,7284.21,11,11_4
196127990,265,49,2,1,1,1,1,-1,1,1,MORENA,1,1,1,1,Aprueba,1,4133.01,11,11_4
196127900,265,36,2,1,95,-1,-1,-1,95,2,MORENA,-1,-1,5,99,NS,2,4854.71,11,11_4
196128406,265,44,1,1,7,1,1,1,7,1,MORENA,1,-1,7,1,Aprueba,1,4439.99,11,11_4
196129461,265,32,1,1,7,-1,-1,-1,7,1,MORENA,3,-1,7,1,Aprueba,99,5392.2,11,11_4
196129565,265,34,2,1,7,-1,1,-1,7,1,MORENA,1,-1,7,1,Aprueba,2,4714.43,11,11_4
196130447,265,45,2,1,1,-1,-1,-1,7,1,MORENA,1,-1,7,1,Aprueba,99,4133.01,11,11_4
196154718,302,42,2,1,1,1,-1,-1,1,3,NS,1,-1,1,2,Desaprueba,1,6489.4,11,11_5
196156341,302,71,1,1,7,-1,1,-1,7,1,MORENA,3,-1,7,1,Aprueba,2,6324.02,11,11_5
196155863,302,35,1,1,7,1,-1,-1,1,1,MORENA,1,-1,7,1,Aprueba,1,5618.26,11,11_5
196161210,302,22,1,1,7,-1,-1,-1,6,1,MORENA,3,-1,7,1,Aprueba,2,3867.27,11,11_5
196164178,303,27,1,1,7,1,1,-1,7,1,MORENA,-1,-1,7,1,Aprueba,1,3389.1,11,11_5
196165153,303,75,1,1,7,-1,-1,-1,7,1,MORENA,3,1,7,1,Aprueba,1,6228.54,11,11_5
196169947,303,50,1,1,7,-1,-1,-1,7,1,MORENA,1,-1,7,1,Aprueba,99,4598.1,11,11_5
