SbjNum,ESTADO,SECC,Edad,Sexo,P3,P4A1,P4A2,P4A3,P5,P6,P7,PESOF,percepcion,ideologia,aux,KEY
196693035,2,98,45,2,7,1,-1,-1,1,7,1,62161.09,Aprueba,MORENA,2_98,2_1
196694768,2,98,28,2,7,-1,-1,-1,97,7,1,128637.42,Aprueba,MORENA,2_98,2_1
196695830,2,98,60,2,99,1,1,-1,1,99,1,147798.40,Aprueba,NS,2_98,2_1
196696576,2,98,65,1,7,1,3,99,1,5,1,62872.70,Aprueba,MORENA,2_98,2_1
196697157,2,98,21,2,6,2,3,-1,3,6,3,95509.38,Desaprueba,MC,2_98,2_1
196698170,2,98,18,1,7,1,1,-1,1,7,1,118154.06,Aprueba,MORENA,2_98,2_1
196699364,2,98,43,2,7,1,3,-1,1,7,1,43101.08,Aprueba,MORENA,2_98,2_1
196700797,2,98,48,1,99,99,-1,-1,1,99,1,64560.27,Aprueba,NS,2_98,2_1
196701173,2,98,25,1,7,-1,-1,-1,1,7,1,76308.56,Aprueba,MORENA,2_98,2_1
196702080,2,98,26,1,7,1,1,-1,1,7,1,76308.56,Aprueba,MORENA,2_98,2_1
196703386,2,172,38,2,5,-1,-1,-1,1,5,1,23296.16,Aprueba,MORENA,2_172,2_1
196703800,2,172,28,2,7,1,3,-1,1,7,1,33692.65,Aprueba,MORENA,2_172,2_1
196704215,2,172,21,2,7,1,-1,-1,1,7,1,16896.66,Aprueba,MORENA,2_172,2_1
196705268,2,172,35,2,7,-1,-1,-1,1,7,1,22454.18,Aprueba,MORENA,2_172,2_1
196704782,2,172,33,1,7,99,-1,-1,1,7,1,19352.60,Aprueba,MORENA,2_172,2_1
196705908,2,172,78,2,7,1,-1,-1,1,7,1,28139.33,Aprueba,MORENA,2_172,2_1
196706151,2,172,48,2,2,1,3,-1,1,1,1,39518.13,Aprueba,PAN,2_172,2_1
196706587,2,172,38,1,7,-1,-1,-1,97,4,1,11180.53,Aprueba,MORENA,2_172,2_1
196706831,2,172,18,1,4,1,-1,-1,1,5,1,29584.46,Aprueba,MORENA,2_172,2_1
196707166,2,172,23,1,7,99,99,-1,99,7,1,19485.94,Aprueba,MORENA,2_172,2_1
196707555,2,172,45,1,99,1,-1,-1,1,99,1,16909.59,Aprueba,NS,2_172,2_1
196738786,2,177,18,2,7,-1,-1,-1,99,7,1,13998.37,Aprueba,MORENA,2_177,2_1
196739835,2,177,38,2,7,1,3,-1,1,7,1,14969.83,Aprueba,MORENA,2_177,2_1
196740731,2,177,27,2,95,2,-1,-1,2,95,3,30901.45,Desaprueba,NS,2_177,2_1
196741565,2,177,32,2,7,-1,-1,-1,99,7,1,11119.80,Aprueba,MORENA,2_177,2_1
196742324,2,177,56,2,7,2,-1,-1,1,7,1,11365.12,Aprueba,MORENA,2_177,2_1
196743692,2,177,31,1,95,1,-1,-1,99,95,1,17749.37,Aprueba,NS,2_177,2_1
196744320,2,177,33,1,7,1,99,-1,1,7,1,12902.06,Aprueba,MORENA,2_177,2_1
196745364,2,177,71,1,7,-1,-1,-1,99,4,1,15193.19,Aprueba,MORENA,2_177,2_1
196746425,2,177,35,1,7,2,2,-1,1,6,1,8321.95,Aprueba,MORENA,2_177,2_1
196746935,2,177,46,1,7,-1,-1,-1,99,7,1,8194.63,Aprueba,MORENA,2_177,2_1
196777782,2,444,54,2,2,-1,-1,-1,99,6,1,93122.66,Aprueba,PAN,2_444,2_2
196778937,2,444,27,2,95,3,1,-1,97,95,3,176966.55,Desaprueba,NS,2_444,2_2
196779835,2,444,32,1,7,2,1,-1,2,7,3,73887.58,Desaprueba,MORENA,2_444,2_2
196780629,2,444,54,2,7,1,1,1,97,99,1,50267.55,Aprueba,MORENA,2_444,2_2
196782818,2,444,35,1,7,-1,-1,-1,1,7,1,45928.33,Aprueba,MORENA,2_444,2_2
196783409,2,444,39,2,7,99,1,-1,2,7,1,85729.31,Aprueba,MORENA,2_444,2_2
196786675,2,444,72,1,7,1,3,-1,1,7,1,93615.47,Aprueba,MORENA,2_444,2_2
196787333,2,444,24,1,7,1,1,1,1,7,1,74396.68,Aprueba,MORENA,2_444,2_2
196787952,2,444,60,2,4,-1,1,-1,2,5,1,102705.35,Aprueba,MORENA,2_444,2_2
196788458,2,444,37,1,4,-1,-1,-1,99,4,1,60761.31,Aprueba,MORENA,2_444,2_2
196823730,2,1391,63,1,7,1,-1,-1,1,7,2,93615.47,NS,MORENA,2_1391,2_4
196824592,2,1391,49,2,95,99,-1,-1,1,95,1,85515.04,Aprueba,NS,2_1391,2_4
196826181,2,1391,35,2,99,1,-1,-1,2,99,1,117937.85,Aprueba,NS,2_1391,2_4
196826756,2,1391,18,1,99,-1,-1,-1,3,99,1,162544.58,Aprueba,NS,2_1391,2_4
196827166,2,1391,25,2,99,-1,3,-1,97,99,1,176966.55,Aprueba,NS,2_1391,2_4
196827878,2,1391,25,1,99,2,2,-1,1,99,1,104977.72,Aprueba,NS,2_1391,2_4
196828256,2,1391,24,2,99,-1,-1,-1,99,99,1,88747.66,Aprueba,NS,2_1391,2_4
196828949,2,1391,45,1,99,1,3,-1,1,99,1,64560.27,Aprueba,NS,2_1391,2_4
196829421,2,1391,35,1,99,-1,-1,-1,97,99,1,63183.62,Aprueba,NS,2_1391,2_4
196831009,2,1391,33,2,99,-1,1,-1,2,99,1,87605.89,Aprueba,NS,2_1391,2_4
196725339,4,12,71,1,99,1,-1,-1,1,99,1,341067.26,Aprueba,NS,4_12,4_1
196725750,4,12,30,2,99,2,2,-1,1,7,1,169215.38,Aprueba,NS,4_12,4_1
196726358,4,12,73,2,7,1,99,-1,1,5,1,183243.89,Aprueba,MORENA,4_12,4_1
196726606,4,12,24,2,99,-1,-1,-1,1,7,1,154182.84,Aprueba,NS,4_12,4_1
196727178,4,12,37,2,95,99,-1,-1,97,95,3,151198.80,Desaprueba,NS,4_12,4_1
196728133,4,12,42,2,1,1,1,1,1,7,1,406811.94,Aprueba,PAN,4_12,4_1
196727931,4,12,25,1,6,99,-1,-1,99,6,1,172168.82,Aprueba,MC,4_12,4_1
196729228,4,12,53,2,95,1,1,-1,1,95,1,171532.41,Aprueba,NS,4_12,4_1
196729779,4,12,18,1,4,1,3,-1,1,7,1,100874.59,Aprueba,MORENA,4_12,4_1
196729995,4,12,54,1,7,1,-1,-1,1,7,1,118295.35,Aprueba,MORENA,4_12,4_1
196731173,4,12,44,1,2,1,3,-1,1,7,1,248806.31,Aprueba,PAN,4_12,4_1
196697093,4,319,45,2,7,1,3,-1,1,7,1,64850.63,Aprueba,MORENA,4_319,4_4
196697846,4,319,44,1,99,1,-1,-1,1,5,1,32929.03,Aprueba,NS,4_319,4_4
196697154,4,319,57,2,99,1,3,-1,1,7,1,74653.93,Aprueba,NS,4_319,4_4
196698000,4,319,48,1,7,1,1,-1,2,4,1,53207.39,Aprueba,MORENA,4_319,4_4
196698658,4,319,40,2,7,1,3,3,1,7,1,35232.18,Aprueba,MORENA,4_319,4_4
196698916,4,319,32,2,6,1,-1,-1,1,7,1,48977.29,Aprueba,MC,4_319,4_4
196702148,4,319,28,1,95,-1,-1,-1,97,95,1,43365.44,Aprueba,NS,4_319,4_4
196699853,4,319,18,2,2,-1,1,-1,2,2,1,87256.95,Aprueba,PAN,4_319,4_4
196702025,4,319,18,1,6,99,-1,-1,1,7,1,27408.40,Aprueba,MC,4_319,4_4
196703320,4,319,58,1,7,1,3,-1,1,7,1,33813.22,Aprueba,MORENA,4_319,4_4
196688029,4,350,59,2,6,-1,-1,-1,1,7,1,110086.77,Aprueba,MC,4_350,4_4
196688307,4,350,75,1,5,1,2,99,1,7,1,143374.89,Aprueba,MORENA,4_350,4_4
196688975,4,350,39,2,7,1,1,-1,2,7,1,41144.21,Aprueba,MORENA,4_350,4_4
196688969,4,350,18,2,7,-1,99,-1,2,7,1,58581.86,Aprueba,MORENA,4_350,4_4
196689594,4,350,44,1,7,1,-1,-1,1,7,1,50674.64,Aprueba,MORENA,4_350,4_4
196689553,4,350,47,1,99,-1,-1,-1,97,7,1,105643.76,Aprueba,NS,4_350,4_4
196690510,4,350,45,2,7,1,-1,-1,1,7,1,89561.25,Aprueba,MORENA,4_350,4_4
196691238,4,350,44,2,3,2,3,-1,1,7,1,106557.99,Aprueba,PAN,4_350,4_4
196691212,4,350,34,1,2,2,1,2,99,1,1,255527.63,Aprueba,PAN,4_350,4_4
196692069,4,350,24,1,6,2,3,-1,1,7,1,85603.31,Aprueba,MC,4_350,4_4
196691890,4,350,32,2,7,1,3,-1,1,7,1,47407.21,Aprueba,MORENA,4_350,4_4
196701766,5,512,30,1,6,2,3,1,3,6,1,140725.33,Aprueba,MC,5_512,5_22
196702514,5,512,58,2,7,1,99,-1,1,7,1,87334.99,Aprueba,MORENA,5_512,5_22
196703033,5,512,31,2,7,-1,-1,-1,99,7,1,100211.16,Aprueba,MORENA,5_512,5_22
196703732,5,512,54,2,7,-1,1,-1,99,7,1,72478.22,Aprueba,MORENA,5_512,5_22
196704507,5,512,24,1,99,99,-1,-1,97,99,2,132459.52,NS,NS,5_512,5_22
196705144,5,512,40,1,7,-1,2,1,1,7,1,181351.24,Aprueba,MORENA,5_512,5_22
196705752,5,512,52,1,99,-1,-1,-1,1,7,1,161515.50,Aprueba,NS,5_512,5_22
196706458,5,512,35,2,7,1,3,-1,1,5,1,42003.87,Aprueba,MORENA,5_512,5_22
196706754,5,512,19,2,1,-1,1,-1,2,1,2,128528.95,NS,PAN,5_512,5_22
196707676,5,512,56,1,7,1,-1,-1,1,7,1,116232.13,Aprueba,MORENA,5_512,5_22
196733888,5,645,59,2,7,1,3,-1,1,7,1,26210.01,Aprueba,MORENA,5_645,5_26
196735597,5,645,35,2,2,2,1,-1,2,2,1,38609.70,Aprueba,PAN,5_645,5_26
196736330,5,645,18,2,7,-1,-1,-1,1,7,1,9332.38,Aprueba,MORENA,5_645,5_26
196738485,5,645,78,1,2,99,2,-1,1,2,1,71211.20,Aprueba,PAN,5_645,5_26
196740163,5,645,24,2,7,-1,-1,-1,1,7,1,26270.29,Aprueba,MORENA,5_645,5_26
196740791,5,645,40,2,2,-1,-1,-1,99,2,1,81547.76,Aprueba,PAN,5_645,5_26
196741522,5,645,54,1,2,99,99,-1,99,7,1,66675.81,Aprueba,PAN,5_645,5_26
196743174,5,645,74,1,95,-1,-1,-1,1,7,1,46257.83,Aprueba,NS,5_645,5_26
196744101,5,645,54,1,7,1,3,3,1,7,1,36275.49,Aprueba,MORENA,5_645,5_26
196745345,5,645,30,1,2,-1,-1,-1,1,2,1,58678.76,Aprueba,PAN,5_645,5_26
196769246,5,958,73,2,7,1,-1,-1,1,7,1,174318.93,Aprueba,MORENA,5_958,5_30
196771444,5,958,71,1,7,1,1,-1,1,7,1,115352.42,Aprueba,MORENA,5_958,5_30
196772630,5,958,35,1,99,-1,-1,-1,99,99,1,68923.96,Aprueba,NS,5_958,5_30
196774454,5,958,18,1,7,1,2,-1,3,7,1,29137.08,Aprueba,MORENA,5_958,5_30
196775287,5,958,42,2,7,1,2,-1,1,7,1,132096.23,Aprueba,MORENA,5_958,5_30
196778831,5,958,50,1,7,1,1,-1,1,7,1,120874.43,Aprueba,MORENA,5_958,5_30
196779355,5,958,27,2,7,1,-1,-1,1,7,1,109451.94,Aprueba,MORENA,5_958,5_30
196781209,5,958,32,1,99,-1,-1,-1,97,99,3,130762.48,Desaprueba,NS,5_958,5_30
196783214,5,958,18,2,2,2,-1,-1,1,7,1,57156.90,Aprueba,PAN,5_958,5_30
196784174,5,958,50,2,99,1,2,-1,1,99,1,99708.32,Aprueba,NS,5_958,5_30
196724431,5,1125,64,2,7,1,3,-1,1,7,1,24643.64,Aprueba,MORENA,5_1125,5_33
196725078,5,1125,63,1,7,1,-1,-1,1,7,1,16307.49,Aprueba,MORENA,5_1125,5_33
196725968,5,1125,68,2,7,1,3,-1,1,4,1,22904.39,Aprueba,MORENA,5_1125,5_33
196726915,5,1125,32,2,7,2,3,-1,1,7,1,14166.95,Aprueba,MORENA,5_1125,5_33
196728227,5,1125,48,1,6,3,3,-1,99,99,1,16558.29,Aprueba,MC,5_1125,5_33
196729356,5,1125,22,2,7,1,3,-1,1,7,1,12375.03,Aprueba,MORENA,5_1125,5_33
196729927,5,1125,25,2,7,1,3,-1,1,7,1,15473.33,Aprueba,MORENA,5_1125,5_33
196730601,5,1125,43,2,7,1,2,-1,1,7,1,18674.58,Aprueba,MORENA,5_1125,5_33
196732007,5,1125,22,1,5,-1,-1,-1,97,4,1,19543.67,Aprueba,MORENA,5_1125,5_33
196732851,5,1125,31,1,7,1,2,-1,1,7,1,13437.54,Aprueba,MORENA,5_1125,5_33
196734505,5,1125,44,1,7,1,-1,-1,1,7,1,25637.81,Aprueba,MORENA,5_1125,5_33
196693729,8,557,49,1,1,-1,1,-1,2,1,3,186047.50,Desaprueba,PAN,8_557,8_19
196694271,8,557,76,2,4,-1,-1,-1,99,4,99,136328.73,NS,MORENA,8_557,8_19
196695156,8,557,20,2,4,2,-1,-1,99,4,1,81860.53,Aprueba,MORENA,8_557,8_19
196695804,8,557,32,2,95,1,99,-1,1,95,3,84028.83,Desaprueba,NS,8_557,8_19
196696819,8,557,42,2,7,1,1,-1,2,7,1,41341.21,Aprueba,MORENA,8_557,8_19
196697349,8,557,68,1,95,1,3,-1,1,95,1,123528.31,Aprueba,NS,8_557,8_19
196697945,8,557,30,2,95,-1,-1,-1,99,95,1,84028.83,Aprueba,NS,8_557,8_19
196699459,8,557,38,1,95,-1,-1,-1,1,7,1,58864.77,Aprueba,NS,8_557,8_19
196700695,8,557,29,1,7,-1,-1,-1,1,7,1,73192.79,Aprueba,MORENA,8_557,8_19
196701254,8,557,24,1,2,1,1,-1,1,2,1,146788.27,Aprueba,PAN,8_557,8_19
196736154,8,1182,52,2,7,1,3,-1,1,7,1,11127.39,Aprueba,MORENA,8_1182,8_31
196737045,8,1182,56,2,2,-1,-1,-1,1,3,1,31002.52,Aprueba,PAN,8_1182,8_31
196738425,8,1182,67,1,7,1,1,99,99,7,1,21335.22,Aprueba,MORENA,8_1182,8_31
196739228,8,1182,41,2,95,-1,-1,-1,97,95,99,13513.31,NS,NS,8_1182,8_31
196740674,8,1182,22,2,7,99,-1,-1,1,7,1,14702.21,Aprueba,MORENA,8_1182,8_31
196741559,8,1182,50,1,2,-1,1,-1,2,2,2,31042.90,NS,PAN,8_1182,8_31
196742309,8,1182,36,2,7,1,1,-1,1,7,1,19537.95,Aprueba,MORENA,8_1182,8_31
196742799,8,1182,48,1,1,-1,1,-1,2,1,3,44205.71,Desaprueba,PAN,8_1182,8_31
196743852,8,1182,40,1,2,-1,-1,-1,2,2,1,60827.37,Aprueba,PAN,8_1182,8_31
196744271,8,1182,18,1,2,-1,-1,-1,97,2,1,55391.23,Aprueba,PAN,8_1182,8_31
196655267,8,1682,44,1,95,1,1,1,1,95,1,171208.59,Aprueba,NS,8_1682,8_37
196657026,8,1682,45,1,7,1,2,-1,1,7,1,45012.85,Aprueba,MORENA,8_1682,8_37
196658016,8,1682,30,2,7,1,1,-1,1,5,1,41022.20,Aprueba,MORENA,8_1682,8_37
196660358,8,1682,40,2,1,3,1,-1,2,1,3,170871.86,Desaprueba,PAN,8_1682,8_37
196661488,8,1682,59,2,1,3,1,2,2,99,3,201167.52,Desaprueba,PAN,8_1682,8_37
196662369,8,1682,51,1,7,1,1,-1,1,7,1,63513.33,Aprueba,MORENA,8_1682,8_37
196663211,8,1682,38,1,7,1,-1,-1,1,7,1,44053.02,Aprueba,MORENA,8_1682,8_37
196664012,8,1682,69,1,7,2,3,-1,1,7,1,89793.03,Aprueba,MORENA,8_1682,8_37
196666273,8,1682,39,2,1,3,2,3,97,1,3,339869.10,Desaprueba,PAN,8_1682,8_37
196667040,8,1682,47,2,7,1,-1,-1,1,7,1,59622.97,Aprueba,MORENA,8_1682,8_37
196669754,8,1818,55,1,5,-1,-1,-1,3,6,2,213296.20,NS,MORENA,8_1818,8_37
196670447,8,1818,36,2,99,1,2,-1,1,7,1,109876.32,Aprueba,NS,8_1818,8_37
196671121,8,1818,47,1,99,1,-1,-1,1,99,1,61924.19,Aprueba,NS,8_1818,8_37
196671669,8,1818,60,2,7,-1,-1,-1,97,4,1,95775.55,Aprueba,MORENA,8_1818,8_37
196672485,8,1818,54,1,7,1,3,-1,1,7,1,63513.33,Aprueba,MORENA,8_1818,8_37
196673540,8,1818,54,2,7,3,1,-1,2,7,1,46831.56,Aprueba,MORENA,8_1818,8_37
196674367,8,1818,37,1,95,-1,-1,-1,97,95,1,60603.76,Aprueba,NS,8_1818,8_37
196674601,8,1818,27,2,7,1,-1,-1,1,7,1,123385.00,Aprueba,MORENA,8_1818,8_37
196674904,8,1818,20,1,7,1,-1,-1,1,7,1,71358.97,Aprueba,MORENA,8_1818,8_37
196675141,8,1818,50,2,95,-1,-1,-1,99,95,99,64426.19,NS,NS,8_1818,8_37
196775810,8,2382,64,2,95,-1,-1,-1,99,95,1,52811.31,Aprueba,NS,8_2382,8_48
196776760,8,2382,65,1,99,2,2,-1,2,2,3,50023.29,Desaprueba,NS,8_2382,8_48
196777340,8,2382,54,1,1,-1,2,-1,2,3,1,84210.39,Aprueba,PAN,8_2382,8_48
196778178,8,2382,53,2,95,1,-1,-1,1,95,1,24000.74,Aprueba,NS,8_2382,8_48
196779145,8,2382,35,2,7,1,-1,-1,1,7,1,30632.79,Aprueba,MORENA,8_2382,8_48
196779714,8,2382,34,2,95,1,1,-1,2,1,99,40151.45,NS,NS,8_2382,8_48
196786073,8,2382,41,1,6,-1,-1,-1,97,6,1,68639.93,Aprueba,MC,8_2382,8_48
196786905,8,2382,62,1,3,2,2,-1,99,4,1,68086.20,Aprueba,PAN,8_2382,8_48
196786415,8,2382,50,1,6,-1,-1,-1,97,99,1,34755.81,Aprueba,MC,8_2382,8_48
196792385,8,2382,24,2,1,-1,-1,-1,97,2,3,80744.03,Desaprueba,PAN,8_2382,8_48
196831629,9,631,31,2,1,3,1,-1,2,1,3,126125.44,Desaprueba,PAN,9_631,9_3
196831545,9,631,43,2,1,3,1,-1,2,1,3,101875.26,Desaprueba,PAN,9_631,9_3
196831912,9,631,42,2,1,1,1,-1,97,1,2,101875.26,NS,PAN,9_631,9_3
196831264,9,631,28,2,1,3,1,99,2,1,3,124508.26,Desaprueba,PAN,9_631,9_3
196832358,9,631,24,2,7,1,2,-1,1,7,2,22093.83,NS,MORENA,9_631,9_3
196833174,9,631,32,1,6,2,2,2,97,6,2,31002.89,NS,MC,9_631,9_3
196832432,9,631,42,1,95,1,3,2,1,7,1,46674.35,Aprueba,NS,9_631,9_3
196832695,9,631,47,1,1,3,3,2,97,1,2,113880.43,NS,PAN,9_631,9_3
196833319,9,631,75,1,1,3,1,-1,2,1,3,113522.63,Desaprueba,PAN,9_631,9_3
196832936,9,631,23,1,1,2,3,-1,97,5,1,64858.80,Aprueba,PAN,9_631,9_3
196778319,9,887,47,2,6,1,3,-1,1,5,3,28548.05,Desaprueba,MC,9_887,9_5
196778855,9,887,48,2,7,1,3,-1,1,7,1,29792.41,Aprueba,MORENA,9_887,9_5
196778403,9,887,52,1,7,1,3,-1,1,7,1,28082.87,Aprueba,MORENA,9_887,9_5
196779475,9,887,38,1,7,1,-1,-1,1,7,1,25934.53,Aprueba,MORENA,9_887,9_5
196779693,9,887,32,2,95,1,3,-1,1,95,1,46644.10,Aprueba,NS,9_887,9_5
196784717,9,887,41,2,95,1,3,-1,1,95,1,37675.82,Aprueba,NS,9_887,9_5
196783732,9,887,63,2,3,1,-1,-1,1,4,1,108658.26,Aprueba,PAN,9_887,9_5
196784632,9,887,24,1,7,1,-1,-1,97,7,1,34283.05,Aprueba,MORENA,9_887,9_5
196784671,9,887,27,1,7,1,1,-1,1,5,1,19942.24,Aprueba,MORENA,9_887,9_5
196792369,9,1103,54,1,7,1,3,3,1,7,1,25274.58,Aprueba,MORENA,9_1103,9_5
196792138,9,1103,25,1,6,3,2,-1,2,6,3,39565.33,Desaprueba,MC,9_1103,9_5
196792096,9,1103,31,1,7,1,-1,-1,1,7,1,20940.60,Aprueba,MORENA,9_1103,9_5
196792355,9,1103,65,1,6,3,2,-1,2,2,3,43857.02,Desaprueba,MC,9_1103,9_5
196792631,9,1103,41,1,6,1,3,99,1,6,1,51714.40,Aprueba,MC,9_1103,9_5
196793075,9,1103,27,2,2,1,2,-1,1,2,1,61966.03,Aprueba,PAN,9_1103,9_5
196793073,9,1103,58,2,1,3,1,-1,2,1,3,130829.75,Desaprueba,PAN,9_1103,9_5
196793144,9,1103,30,2,7,3,2,2,97,3,1,34699.36,Aprueba,MORENA,9_1103,9_5
196793269,9,1103,63,2,1,1,1,-1,2,1,99,198581.28,NS,PAN,9_1103,9_5
196793438,9,1103,23,2,7,1,3,-1,1,7,1,22093.83,Aprueba,MORENA,9_1103,9_5
196789089,9,1443,30,2,2,3,3,-1,97,6,3,58200.56,Desaprueba,PAN,9_1443,9_5
196788675,9,1443,60,1,6,3,1,1,3,3,2,44561.27,NS,MC,9_1443,9_5
196789005,9,1443,74,2,7,1,99,99,1,7,1,48045.31,Aprueba,MORENA,9_1443,9_5
196789127,9,1443,54,1,7,1,3,-1,1,7,1,25274.58,Aprueba,MORENA,9_1443,9_5
196789294,9,1443,35,2,1,1,1,-1,1,1,1,75563.65,Aprueba,PAN,9_1443,9_5
196789835,9,1443,18,1,7,1,-1,-1,1,7,1,14595.37,Aprueba,MORENA,9_1443,9_5
196790068,9,1443,18,1,7,1,1,-1,1,7,1,14595.37,Aprueba,MORENA,9_1443,9_5
196790595,9,1443,45,2,2,3,3,-1,97,99,3,50739.64,Desaprueba,PAN,9_1443,9_5
196790208,9,1443,23,2,7,1,1,-1,1,7,1,22093.83,Aprueba,MORENA,9_1443,9_5
196790398,9,1443,32,1,7,1,-1,-1,1,7,1,20940.60,Aprueba,MORENA,9_1443,9_5
196739907,9,1746,58,1,7,2,2,-1,1,7,1,141152.09,Aprueba,MORENA,9_1746,9_6
196739522,9,1746,36,1,7,1,3,3,1,7,1,23341.08,Aprueba,MORENA,9_1746,9_6
196739198,9,1746,18,1,7,3,2,-1,97,2,3,16334.39,Desaprueba,MORENA,9_1746,9_6
196741666,9,1746,33,1,1,3,1,99,97,1,3,86551.88,Desaprueba,PAN,9_1746,9_6
196741308,9,1746,53,1,1,3,3,2,3,6,3,82086.77,Desaprueba,PAN,9_1746,9_6
196743152,9,1746,33,2,1,2,1,-1,2,1,3,126125.44,Desaprueba,PAN,9_1746,9_6
196742846,9,1746,18,2,7,1,2,-1,1,7,1,16138.61,Aprueba,MORENA,9_1746,9_6
196742801,9,1746,66,2,7,99,99,-1,1,4,1,44654.45,Aprueba,MORENA,9_1746,9_6
196742740,9,1746,25,2,7,1,99,2,1,7,1,30123.88,Aprueba,MORENA,9_1746,9_6
196744154,9,1746,38,2,7,1,3,-1,1,7,1,18282.08,Aprueba,MORENA,9_1746,9_6
196745988,9,1760,49,2,95,1,99,-1,1,7,1,35828.44,Aprueba,NS,9_1760,9_6
196746589,9,1760,54,1,7,1,3,-1,1,7,1,25274.58,Aprueba,MORENA,9_1760,9_6
196746033,9,1760,67,2,7,1,2,-1,1,7,1,48045.31,Aprueba,MORENA,9_1760,9_6
