SbjNum,ESTADO,SECC,Edad,Sexo,P2,P3X1,P3X2,P3X3,P4,P5,P6,PESOF,percepcion,ideologia,aux,KEY
197902286,9,3994,26,2,7,1,1,-1,1,7,1,121.09,Aprueba,MORENA,9_3994,9_12
197902287,9,3994,18,2,7,1,-1,-1,1,7,1,88.90,Aprueba,MORENA,9_3994,9_12
197844771,24,527,69,2,7,1,3,-1,1,6,1,52791.92,Aprueba,MORENA,24_527,24_20
197902288,9,3994,27,1,7,1,3,3,1,5,1,65.23,Aprueba,MORENA,9_3994,9_12
197845663,24,527,29,2,1,1,99,-1,1,7,1,112413.24,Aprueba,PAN,24_527,24_20
197846783,24,527,59,1,4,1,1,-1,1,4,1,41710.55,Aprueba,MORENA,24_527,24_20
197848311,24,527,19,1,95,-1,-1,-1,3,4,1,46213.99,Aprueba,NS,24_527,24_20
197849195,24,527,18,2,7,1,-1,-1,1,7,1,27595.11,Aprueba,MORENA,24_527,24_20
197849913,8,1519,72,1,7,1,3,-1,1,7,1,138868.73,Aprueba,MORENA,8_1519,8_37
197850201,24,527,37,2,7,1,1,-1,1,7,1,27370.44,Aprueba,MORENA,24_527,24_20
197915300,9,3973,42,1,7,1,3,2,1,7,1,29470.74,Aprueba,MORENA,9_3973,9_12
197851837,24,527,53,2,3,-1,-1,-1,2,4,1,42796.42,Aprueba,PAN,24_527,24_20
197852078,8,1519,25,1,95,2,2,-1,1,95,1,84746.18,Aprueba,NS,8_1519,8_37
197915301,9,3973,55,2,7,1,-1,-1,1,7,1,49394.25,Aprueba,MORENA,9_3973,9_12
197853100,24,527,27,1,7,1,2,-1,1,7,1,33033.80,Aprueba,MORENA,24_527,24_20
197853855,24,527,25,2,1,1,1,-1,1,1,1,71882.48,Aprueba,PAN,24_527,24_20
197854077,8,1519,53,1,7,1,1,-1,1,7,1,65919.76,Aprueba,MORENA,8_1519,8_37
197915302,9,3973,45,2,6,1,1,-1,97,6,3,40637.99,Desaprueba,MC,9_3973,9_12
197854843,8,1519,35,1,1,1,1,-1,2,1,3,130859.04,Desaprueba,PAN,8_1519,8_37
197861496,19,2134,36,2,7,1,3,-1,1,7,1,42122.13,Aprueba,MORENA,19_2134,19_40
197856006,24,527,22,1,7,1,-1,-1,1,7,1,30014.99,Aprueba,MORENA,24_527,24_20
197856189,8,1519,23,1,7,-1,-1,-1,3,7,1,49866.89,Aprueba,MORENA,8_1519,8_37
197862672,19,2134,76,1,7,1,-1,-1,1,7,1,93868.23,Aprueba,MORENA,19_2134,19_40
197857232,24,527,36,1,7,1,1,-1,1,5,1,9550.69,Aprueba,MORENA,24_527,24_20
197863504,19,2134,20,2,95,-1,-1,-1,2,95,1,56949.00,Aprueba,NS,19_2134,19_40
197857816,8,1519,22,2,7,-1,-1,-1,99,7,99,54428.27,NS,MORENA,8_1519,8_37
197864163,5,1311,62,2,7,1,99,99,1,7,1,53761.05,Aprueba,MORENA,5_1311,5_35
197862826,19,1318,78,1,7,1,3,-1,1,5,1,44986.96,Aprueba,MORENA,19_1318,19_40
197864229,19,2134,25,2,7,1,1,-1,1,7,1,40563.31,Aprueba,MORENA,19_2134,19_40
197864825,5,1311,60,1,7,99,-1,-1,97,7,1,57980.03,Aprueba,MORENA,5_1311,5_35
197864843,19,2134,53,2,99,2,2,-1,97,99,2,44190.85,NS,NS,19_2134,19_40
197863145,8,1519,59,2,7,1,1,-1,1,7,1,60718.81,Aprueba,MORENA,8_1519,8_37
197921249,9,3148,40,2,95,3,3,-1,97,95,2,14847.95,NS,NS,9_3148,9_9
197865335,19,2134,59,2,1,3,3,-1,99,1,3,122642.94,Desaprueba,PAN,19_2134,19_40
197863859,19,1318,50,2,7,1,1,-1,1,5,1,15793.38,Aprueba,MORENA,19_1318,19_40
197865791,5,1311,36,1,7,1,1,-1,1,7,1,73423.41,Aprueba,MORENA,5_1311,5_35
197866047,19,2134,52,1,7,1,3,-1,1,7,1,29578.33,Aprueba,MORENA,19_2134,19_40
197864461,19,1318,50,1,7,1,1,1,1,7,1,29578.33,Aprueba,MORENA,19_1318,19_40
197922021,9,3148,18,2,7,1,1,-1,1,5,1,2598.49,Aprueba,MORENA,9_3148,9_9
197864558,8,1519,27,2,5,1,1,-1,2,5,1,39993.14,Aprueba,MORENA,8_1519,8_37
197866360,5,1311,29,2,7,1,99,-1,1,7,1,97112.00,Aprueba,MORENA,5_1311,5_35
197864999,8,1519,49,2,7,-1,99,-1,3,7,1,107279.99,Aprueba,MORENA,8_1519,8_37
197866482,19,2134,34,1,7,2,-1,-1,1,7,1,43559.94,Aprueba,MORENA,19_2134,19_40
197865425,19,1318,70,2,1,2,1,1,2,1,2,218235.76,NS,PAN,19_1318,19_40
197866832,19,2134,44,1,7,1,1,-1,1,7,1,43358.09,Aprueba,MORENA,19_2134,19_40
197866886,5,1311,51,2,7,-1,1,-1,2,7,1,78894.44,Aprueba,MORENA,5_1311,5_35
197923411,9,3148,52,2,2,2,-1,-1,1,2,1,18397.06,Aprueba,PAN,9_3148,9_9
197865759,8,1519,31,2,7,1,1,-1,1,7,1,95884.90,Aprueba,MORENA,8_1519,8_37
197866022,19,1318,30,1,7,1,1,-1,1,7,1,43559.94,Aprueba,MORENA,19_1318,19_40
197867267,19,2134,24,1,7,-1,-1,-1,99,7,1,46191.99,Aprueba,MORENA,19_2134,19_40
197867450,5,1311,72,1,7,1,2,-1,1,7,1,224728.47,Aprueba,MORENA,5_1311,5_35
197866770,19,1318,42,1,1,3,1,2,2,1,3,118246.49,Desaprueba,PAN,19_1318,19_40
197867980,5,1311,34,1,1,-1,-1,-1,99,1,1,284410.01,Aprueba,PAN,5_1311,5_35
197867099,19,1318,30,2,95,3,3,3,97,95,3,45193.00,Desaprueba,NS,19_1318,19_40
197868661,5,1311,57,2,7,1,1,-1,1,7,1,107662.36,Aprueba,MORENA,5_1311,5_35
197867749,19,1318,19,1,4,-1,-1,1,3,4,1,63120.49,Aprueba,MORENA,19_1318,19_40
197869191,5,1311,49,2,2,-1,-1,-1,97,2,1,166390.23,Aprueba,PAN,5_1311,5_35
197868519,19,1318,46,2,1,1,1,-1,1,1,2,73984.51,NS,PAN,19_1318,19_40
197869671,5,1311,29,1,7,1,1,-1,1,7,1,121710.06,Aprueba,MORENA,5_1311,5_35
197868837,19,1318,22,2,1,2,1,-1,2,1,3,115818.73,Desaprueba,PAN,19_1318,19_40
197894087,21,2014,81,2,7,1,-1,-1,1,2,1,40626.82,Aprueba,MORENA,21_2014,21_155
197895041,21,2014,40,2,7,1,1,-1,1,7,1,47049.47,Aprueba,MORENA,21_2014,21_155
197895908,9,3047,42,2,7,1,1,-1,1,7,1,36881.16,Aprueba,MORENA,9_3047,9_8
197899569,15,3370,71,2,7,1,3,3,1,7,1,37853.95,Aprueba,MORENA,15_3370,15_60
197896495,21,2014,27,1,7,1,3,-1,1,7,1,35272.52,Aprueba,MORENA,21_2014,21_155
197902944,9,3994,68,1,4,3,2,-1,97,6,1,188.52,Aprueba,MORENA,9_3994,9_12
197897563,9,3047,32,2,7,1,2,-1,1,7,1,42863.88,Aprueba,MORENA,9_3047,9_8
197897920,9,3047,46,2,7,1,1,-1,1,7,1,22974.99,Aprueba,MORENA,9_3047,9_8
197898227,9,3047,22,2,2,1,1,-1,1,5,1,20668.96,Aprueba,PAN,9_3047,9_8
197895353,9,3047,78,2,95,99,99,-1,99,95,3,39806.80,Desaprueba,NS,9_3047,9_8
197898474,21,2014,47,1,1,1,-1,-1,2,1,1,129994.83,Aprueba,PAN,21_2014,21_155
197895832,27,958,25,2,7,1,-1,-1,1,7,1,30541.76,Aprueba,MORENA,27_958,27_13
197897130,27,958,25,2,7,1,1,-1,1,7,1,30541.76,Aprueba,MORENA,27_958,27_13
197896038,28,1680,35,1,7,1,-1,1,1,7,1,43100.26,Aprueba,MORENA,28_1680,28_41
197902945,9,3994,42,2,7,1,3,-1,1,7,1,181.54,Aprueba,MORENA,9_3994,9_12
197896021,27,958,40,2,7,1,3,-1,1,7,1,29856.01,Aprueba,MORENA,27_958,27_13
197896560,27,958,45,2,7,1,2,-1,1,7,1,26718.33,Aprueba,MORENA,27_958,27_13
197900697,9,3047,63,1,2,-1,2,-1,2,2,3,121734.79,Desaprueba,PAN,9_3047,9_8
197896981,9,3994,45,1,99,3,-1,-1,97,99,1,246.63,Aprueba,NS,9_3994,9_12
197897128,27,958,35,1,7,1,-1,-1,1,7,1,30489.56,Aprueba,MORENA,27_958,27_13
197897282,28,1680,50,1,95,3,1,3,2,1,3,40963.28,Desaprueba,NS,28_1680,28_41
197960761,15,4709,45,2,4,1,1,-1,1,7,1,34548.59,Aprueba,MORENA,15_4709,15_102
197897896,27,958,58,1,6,1,2,-1,2,6,3,39304.54,Desaprueba,MC,27_958,27_13
197901276,21,1060,20,2,7,1,3,-1,1,7,1,23376.85,Aprueba,MORENA,21_1060,21_115
197901725,15,4596,47,2,7,1,3,-1,1,7,1,30873.18,Aprueba,MORENA,15_4596,15_97
197897646,27,958,66,2,99,99,2,99,1,99,1,79800.67,Aprueba,NS,27_958,27_13
197897530,19,865,64,2,7,99,99,-1,1,7,99,13779.33,NS,MORENA,19_865,19_34
197901149,9,3047,65,1,2,2,2,-1,97,95,1,57310.30,Aprueba,PAN,9_3047,9_8
197899909,27,958,21,1,7,1,-1,-1,1,7,1,31014.51,Aprueba,MORENA,27_958,27_13
197898664,19,865,20,1,7,-1,-1,-1,97,7,1,28344.34,Aprueba,MORENA,19_865,19_34
197901826,21,2014,31,2,7,1,-1,-1,1,7,1,54681.65,Aprueba,MORENA,21_2014,21_155
197898918,21,1060,39,2,7,1,1,-1,1,7,1,25997.82,Aprueba,MORENA,21_1060,21_115
197902553,15,3370,33,1,7,1,3,-1,1,7,1,20821.10,Aprueba,MORENA,15_3370,15_60
197898827,28,1680,42,2,95,1,1,-1,1,95,1,93904.08,Aprueba,NS,28_1680,28_41
197899207,15,3370,61,1,95,3,2,-1,97,1,3,53075.82,Desaprueba,NS,15_3370,15_60
197899137,9,3047,54,1,2,3,2,2,3,2,1,42985.39,Aprueba,PAN,9_3047,9_8
197902928,22,184,46,2,1,3,1,-1,2,1,3,118515.51,Desaprueba,PAN,22_184,22_10
197903070,21,1060,48,1,7,1,-1,-1,1,7,1,48364.64,Aprueba,MORENA,21_1060,21_115
197904336,15,3370,52,2,7,1,1,-1,1,7,1,16921.17,Aprueba,MORENA,15_3370,15_60
197899792,30,4872,26,1,2,1,1,1,1,2,1,78721.96,Aprueba,PAN,30_4872,30_41
197963402,15,4709,22,2,7,1,1,-1,2,7,1,20832.99,Aprueba,MORENA,15_4709,15_102
197900027,9,3994,70,2,95,1,-1,-1,3,4,1,224.97,Aprueba,NS,9_3994,9_12
