SbjNum,ESTADO,SECC,Edad,Sexo,DOMICILIO,CREDENCIAL,P2,P3A,P3B,P3C,P4,P5,P6,PESOF,percepcion,ideologia,aux,KEY
199453466,21,47,2,1,1,1,7,1,-1,-1,1,7,1,32824.36,Aprueba,MORENA,21_47,21_4
199453310,21,47,2,2,1,1,7,1,3,-1,1,5,1,44936.19,Aprueba,MORENA,21_47,21_4
199453625,21,47,5,1,1,1,99,2,3,99,1,5,1,55298.59,Aprueba,NS,21_47,21_4
199453748,21,47,1,1,1,1,1,-1,1,-1,2,2,1,72834.65,Aprueba,PAN,21_47,21_4
199453944,21,47,1,2,1,1,7,-1,1,1,1,7,1,23565.00,Aprueba,MORENA,21_47,21_4
199454256,21,47,3,2,1,1,7,-1,-1,-1,97,7,1,48536.75,Aprueba,MORENA,21_47,21_4
199454828,21,47,3,1,1,1,7,1,-1,-1,1,7,1,43054.42,Aprueba,MORENA,21_47,21_4
199455708,21,47,5,2,1,1,7,1,1,-1,4,99,1,47276.44,Aprueba,MORENA,21_47,21_4
199455784,21,47,4,2,1,1,7,1,3,-1,1,7,3,22097.31,Desaprueba,MORENA,21_47,21_4
199455538,21,47,4,1,1,1,7,1,-1,-1,1,7,2,31701.29,NS,MORENA,21_47,21_4
199457121,21,54,3,2,1,1,7,1,2,-1,1,7,1,48536.75,Aprueba,MORENA,21_54,21_4
199457361,21,54,5,1,1,1,1,3,2,99,2,1,2,134950.52,NS,PAN,21_54,21_4
199457187,21,54,2,2,1,1,7,1,3,-1,1,7,1,25355.63,Aprueba,MORENA,21_54,21_4
199457668,21,54,1,2,1,1,7,1,3,1,1,7,1,23565.00,Aprueba,MORENA,21_54,21_4
199457679,21,54,1,1,1,1,7,1,3,-1,1,7,1,25251.71,Aprueba,MORENA,21_54,21_4
199457887,21,54,3,1,1,1,7,1,3,99,1,7,1,33938.36,Aprueba,MORENA,21_54,21_4
199458190,21,54,5,2,1,1,99,-1,-1,-1,97,99,3,65806.91,Desaprueba,NS,21_54,21_4
199458858,21,54,2,1,1,1,5,1,3,-1,1,5,99,63554.52,NS,MORENA,21_54,21_4
199458840,21,54,4,1,1,1,7,1,99,-1,1,7,1,22489.64,Aprueba,MORENA,21_54,21_4
199459208,21,54,4,2,1,1,99,99,-1,-1,1,99,1,109954.76,Aprueba,NS,21_54,21_4
199450515,22,58,1,1,1,1,1,2,2,-1,99,1,1,87279.36,Aprueba,PAN,22_58,22_3
199451029,22,58,2,1,1,1,7,1,3,-1,1,7,1,28799.16,Aprueba,MORENA,22_58,22_3
199458341,22,58,3,1,1,1,1,2,1,99,2,1,2,135567.58,NS,PAN,22_58,22_3
199458342,22,58,5,1,1,1,7,1,3,2,1,7,1,41443.78,Aprueba,MORENA,22_58,22_3
199458343,22,58,1,2,1,1,7,1,1,-1,1,7,1,27358.84,Aprueba,MORENA,22_58,22_3
199458344,22,58,4,2,1,1,7,1,3,-1,1,7,1,31075.63,Aprueba,MORENA,22_58,22_3
199458345,22,58,3,2,1,1,95,1,1,-1,97,95,3,58707.77,Desaprueba,NS,22_58,22_3
199458346,22,58,2,2,1,1,7,-1,3,-1,1,7,1,26328.19,Aprueba,MORENA,22_58,22_3
199458347,22,58,4,1,1,1,7,1,-1,-1,1,7,1,43694.02,Aprueba,MORENA,22_58,22_3
199458348,22,58,5,2,1,1,1,1,1,-1,2,1,3,129997.93,Desaprueba,PAN,22_58,22_3
199443931,20,60,1,1,1,1,7,1,3,-1,1,7,1,27314.33,Aprueba,MORENA,20_60,20_7
199446842,20,60,3,2,1,1,7,1,3,3,1,7,2,37534.54,NS,MORENA,20_60,20_7
