MAPA,CVE_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN,CVE_CAB,NOM_CAB,POB_TOTAL,POB_MASCULINA,POB_FEMENINA,TOTAL DE VIVIENDAS HABITADAS
1,1,AGUASCALIENTES,AGS.,1,AGUASCALIENTES,1,AGUASCALIENTES,948990,462073,486917,266942
1,1,AGUASCALIENTES,AGS.,2,ASIENTOS,1,ASIENTOS,51536,25261,26275,12544
1,1,AGUASCALIENTES,AGS.,3,CALVILLO,1,CALVILLO,58250,28563,29687,15556
1,1,AGUASCALIENTES,AGS.,4,COSIO,1,COSIO,17000,8292,8708,3938
1,1,AGUASCALIENTES,AGS.,5,JESUS MARIA,1,JESUS MARIA,129929,64219,65710,33229
1,1,AGUASCALIENTES,AGS.,6,PABELLON DE ARTEAGA,1,PABELLON DE ARTEAGA,47646,23377,24269,11470
1,1,AGUASCALIENTES,AGS.,7,RINCON DE ROMOS,1,RINCON DE ROMOS,57369,28101,29268,13584
1,1,AGUASCALIENTES,AGS.,8,SAN JOSE DE GRACIA,1,SAN JOSE DE GRACIA,9552,4532,5020,2381
1,1,AGUASCALIENTES,AGS.,9,TEPEZALA,1,TEPEZALA,22485,11114,11371,5425
1,1,AGUASCALIENTES,AGS.,10,EL LLANO,1,PALO ALTO,20853,10446,10407,5211
1,1,AGUASCALIENTES,AGS.,11,SAN FRANCISCO DE LOS ROMO,1,SAN FRANCISCO DE LOS ROMO,61997,30705,31292,16391
2,2,BAJA CALIFORNIA,BC,1,ENSENADA,1,ENSENADA,443807,221307,222500,139968
2,2,BAJA CALIFORNIA,BC,2,MEXICALI,1,MEXICALI,1049792,529248,520544,330500
2,2,BAJA CALIFORNIA,BC,3,TECATE,1,TECATE,108440,57130,51310,31176
2,2,BAJA CALIFORNIA,BC,4,TIJUANA,1,TIJUANA,1922523,968740,953783,577011
2,2,BAJA CALIFORNIA,BC,5,PLAYAS DE ROSARITO,1,PLAYAS DE ROSARITO,126890,64386,62504,38135
2,2,BAJA CALIFORNIA,BC,6,SAN QUINTIN,1,SAN QUINTIN,117568,59778,57790,32773
