percepcion,ideologia,KEY
aprueba algo,PAN poco,20_184
N/S,PAN poco,20_21
desaprueba mucho,PAN mucho,20_21
desaprueba mucho,PAN poco,20_9
desaprueba mucho,PAN mucho,20_2
desaprueba mucho,PAN poco,20_9
desaprueba mucho,PAN mucho,20_2
desaprueba mucho,PAN mucho,20_2
desaprueba mucho,PRI poco ,20_2
desaprueba mucho,PAN poco,20_2
aprueba mucho,PAN mucho,20_44
desaprueba mucho,Ninguno ,20_2
desaprueba mucho,PAN poco,20_2
desaprueba mucho,PAN poco,20_9
desaprueba algo,PAN mucho,20_278
desaprueba mucho,PRI mucho,20_184
desaprueba mucho,PAN mucho,20_184
desaprueba algo,PRI mucho,20_184
desaprueba algo,PAN poco,20_184
desaprueba algo,PAN mucho,20_184
aprueba algo,PAN mucho,20_2
desaprueba mucho,PAN mucho,20_184
desaprueba mucho,PAN mucho,20_184
desaprueba algo,PAN mucho,20_184
desaprueba mucho,PAN mucho,20_184
desaprueba algo,PAN mucho,20_278
desaprueba algo,PAN mucho,20_184
aprueba algo,PAN poco,20_2
desaprueba mucho,PAN poco,20_2
desaprueba mucho,PAN poco,20_2
desaprueba mucho,PAN mucho,20_184
desaprueba algo,PAN poco,20_2
desaprueba algo,PAN mucho,20_184
desaprueba mucho,PRI mucho,20_278
desaprueba algo,PAN mucho,20_184
neutro,PAN poco,20_44
aprueba mucho,PRI mucho,20_184
desaprueba algo,PAN mucho,20_468
desaprueba algo,PRI mucho,20_184
aprueba mucho,PAN poco,20_44
aprueba mucho,PAN mucho,20_44
desaprueba algo,PAN mucho,20_44
desaprueba algo,PAN mucho,20_278
desaprueba algo,PAN mucho,20_44
desaprueba algo,PAN mucho,20_468
desaprueba algo,PAN mucho,20_184
N/S,Ns/Nc,20_44
desaprueba mucho,PT mucho,20_184
desaprueba mucho,PAN mucho,20_184
neutro,PAN mucho,20_184
N/S,PAN poco,20_184
desaprueba algo,PAN poco,20_184
aprueba algo,PRI mucho,20_2
desaprueba algo,PAN mucho,20_184
desaprueba algo,PAN mucho,20_2
desaprueba mucho,PAN poco,20_184
desaprueba mucho,PAN poco,20_2
desaprueba mucho,PAN poco,20_2
desaprueba mucho,PAN mucho,20_184
desaprueba mucho,PAN poco,20_2
desaprueba mucho,Ns/Nc,20_2
neutro,PT mucho,20_184
aprueba mucho,PRI mucho,20_184
aprueba mucho,PRI mucho,20_44
aprueba algo,PRI mucho,20_278
neutro,PRI mucho,20_278
aprueba algo,PRI mucho,20_166
desaprueba algo,Ninguno ,20_184
aprueba algo,PRI mucho,20_2
aprueba algo,PRI mucho,20_9
desaprueba mucho,PT poco,20_44
aprueba algo,PAN poco,20_468
neutro,PRI poco ,20_21
neutro,PRI mucho,20_2
neutro,PRI poco ,20_2
N/S,PRI mucho,20_184
aprueba algo,PRI mucho,20_184
aprueba mucho,PRI mucho,20_278
aprueba mucho,Ns/Nc,20_44
aprueba mucho,PRI mucho,20_184
aprueba algo,PRI mucho,20_2
neutro,PRI mucho,20_2
aprueba algo,PRI mucho,20_2
desaprueba algo,PRI poco ,20_2
neutro,PRI poco ,20_2
neutro,PRI mucho,20_2
desaprueba algo,PRI poco ,20_2
neutro,Ninguno ,20_184
aprueba algo,PRI mucho,20_184
desaprueba algo,PRI mucho,20_278
neutro,PRI mucho,20_2
desaprueba mucho,PRI mucho,20_184
aprueba algo,PRI poco ,20_9
aprueba algo,PRI mucho,20_2
neutro,PRI mucho,20_2
aprueba mucho,PRI mucho,20_184
aprueba algo,PRI mucho,20_184
aprueba algo,PRI mucho,20_184
aprueba algo,PAN poco,20_184
aprueba mucho,PRI mucho,20_184
aprueba algo,PRI mucho,20_278
aprueba algo,PRI mucho,20_184
aprueba algo,PRI mucho,20_184
aprueba algo,PRI mucho,20_184
desaprueba algo,PAN poco,20_184
desaprueba mucho,PRI mucho,20_2
neutro,PRI mucho,20_21
desaprueba algo,PRI poco ,20_278
neutro,PRI mucho,20_184
aprueba algo,Ninguno ,20_184
aprueba algo,PRI mucho,20_2
neutro,PRI mucho,20_21
aprueba algo,PRI mucho,20_9
aprueba algo,PRI poco ,20_184
aprueba algo,PRI mucho,20_21
aprueba algo,PRI mucho,20_21
aprueba mucho,PRI poco ,20_184
aprueba algo,PRI mucho,20_417
aprueba algo,PRI mucho,20_184
neutro,PRD poco,20_2
aprueba algo,PRI mucho,20_184
neutro,PAN poco,20_278
desaprueba algo,PRI mucho,20_184
aprueba algo,Ninguno ,20_184
aprueba algo,PRI mucho,20_21
neutro,PRI mucho,20_21
aprueba algo,Ninguno ,20_184
aprueba algo,PRI mucho,20_2
aprueba algo,PRI mucho,20_2
neutro,PVEM poco,20_2
