percepcion,ideologia,KEY
Aprueba algo,Morena,32_2
Aprueba algo,PRI,32_2
Ni aprueba ni desaprueba,Ns/Nc,32_2
Aprueba algo,Morena,32_2
Aprueba algo,Morena,32_2
Ni aprueba ni desaprueba,Ninguno,32_2
Aprueba algo,Ninguno,32_2
Aprueba algo,PRI,32_2
Aprueba algo,PAN,32_5
Desaprueba mucho,PRI,32_5
Aprueba algo,PT,32_5
Aprueba algo,PAN,32_5
Desaprueba mucho,PAN,32_5
Desaprueba algo,PRI,32_5
Desaprueba mucho,Ninguno,32_5
Desaprueba mucho,Ninguno,32_5
Aprueba algo,Ninguno,32_5
Desaprueba mucho,Ninguno,32_5
Aprueba algo,Ninguno,32_5
Aprueba algo,Ninguno,32_5
Aprueba algo,PRI,32_5
Desaprueba mucho,PAN,32_5
Desaprueba mucho,Ninguno,32_5
Desaprueba mucho,Morena,32_5
Aprueba algo,Morena,32_5
Aprueba algo,PRI,32_5
Desaprueba algo,Ninguno,32_5
Aprueba algo,Movimiento Ciudadano,32_5
Desaprueba algo,PAN,32_5
Aprueba algo,PRI,32_5
Desaprueba algo,Morena,32_5
Aprueba algo,PRI,32_5
Desaprueba algo,Ninguno,32_6
Aprueba algo,Ninguno,32_6
Desaprueba mucho,Morena,32_6
Desaprueba mucho,PAN,32_6
Desaprueba mucho,Ninguno,32_6
Desaprueba mucho,PRI,32_6
Aprueba algo,PRI,32_6
Desaprueba mucho,Morena,32_6
Ni aprueba ni desaprueba,PRI,32_7
Desaprueba algo,PRI,32_7
Desaprueba mucho,PRD,32_7
Desaprueba mucho,Morena,32_7
Desaprueba mucho,Ninguno,32_7
Ni aprueba ni desaprueba,PRI,32_7
Desaprueba mucho,Ninguno,32_7
Desaprueba mucho,Ninguno,32_7
Desaprueba algo,Ninguno,32_9
Desaprueba algo,PAN,32_9
Desaprueba mucho,PAN,32_9
Desaprueba mucho,PAN,32_9
Aprueba algo,PT,32_9
Desaprueba algo,PRI,32_9
Desaprueba mucho,Ninguno,32_9
Desaprueba mucho,Morena,32_9
Desaprueba algo,Ns/Nc,32_10
Desaprueba algo,Ninguno,32_10
Desaprueba algo,Ns/Nc,32_10
Ni aprueba ni desaprueba,Ninguno,32_10
Aprueba algo,PAN,32_10
Desaprueba mucho,PT,32_10
Aprueba algo,PRI,32_10
Aprueba algo,PRI,32_10
Ni aprueba ni desaprueba,PAN,32_10
Desaprueba algo,Morena,32_10
Aprueba algo,PRI,32_10
Aprueba algo,Ns/Nc,32_10
Ni aprueba ni desaprueba,PRI,32_10
Desaprueba mucho,PAN,32_10
Desaprueba mucho,Morena,32_10
Aprueba algo,PRI,32_10
Desaprueba mucho,Ninguno,32_10
Desaprueba mucho,PT,32_10
Desaprueba mucho,Morena,32_10
Ni aprueba ni desaprueba,PRI,32_10
Desaprueba mucho,PAN,32_10
Aprueba algo,PRI,32_10
Ni aprueba ni desaprueba,Morena,32_10
Ni aprueba ni desaprueba,PAN,32_10
Desaprueba mucho,Morena,32_10
Desaprueba algo,PAN,32_10
Desaprueba mucho,Morena,32_10
Desaprueba algo,Ninguno,32_10
Ns/Nc,Morena,32_10
Desaprueba algo,Ninguno,32_10
Ni aprueba ni desaprueba,Ninguno,32_10
Ni aprueba ni desaprueba,Morena,32_10
Ni aprueba ni desaprueba,PRI,32_10
Desaprueba algo,Morena,32_10
Desaprueba algo,Morena,32_10
Desaprueba mucho,PAN,32_10
Ni aprueba ni desaprueba,PRI,32_10
Desaprueba algo,PAN,32_10
Desaprueba algo,Morena,32_10
Desaprueba mucho,PAN,32_10
Ni aprueba ni desaprueba,Morena,32_10
Aprueba mucho,PRI,32_10
Ni aprueba ni desaprueba,Morena,32_10
Desaprueba algo,Morena,32_10
Desaprueba algo,Ninguno,32_10
Ns/Nc,Ninguno,32_10
Desaprueba algo,Ninguno,32_10
Desaprueba algo,PRI,32_10
Aprueba algo,PRI,32_10
Ni aprueba ni desaprueba,Ninguno,32_10
Ni aprueba ni desaprueba,PAN,32_10
Aprueba algo,Ninguno,32_10
Ni aprueba ni desaprueba,PRI,32_10
Aprueba algo,PRI,32_10
Desaprueba algo,Ninguno,32_10
Desaprueba algo,Morena,32_10
Aprueba algo,Morena,32_10
Ni aprueba ni desaprueba,PRI,32_10
Ni aprueba ni desaprueba,PAN,32_10
Ni aprueba ni desaprueba,Ninguno,32_10
Desaprueba algo,PRI,32_10
Aprueba algo,PRI,32_10
Ns/Nc,Ninguno,32_10
Desaprueba mucho,Morena,32_10
Ni aprueba ni desaprueba,PRI,32_10
Ni aprueba ni desaprueba,Ninguno,32_10
Aprueba algo,PAN,32_10
Ni aprueba ni desaprueba,Ninguno,32_10
Desaprueba algo,Ninguno,32_10
Aprueba algo,PRI,32_10
Desaprueba algo,Ninguno,32_10
Ni aprueba ni desaprueba,Ninguno,32_10
Desaprueba mucho,Ninguno,32_10
Desaprueba algo,PRI,32_10
Desaprueba mucho,PAN,32_10
Desaprueba mucho,Encuentro Social,32_10
Desaprueba algo,Morena,32_10
Aprueba algo,PRI,32_10
Desaprueba algo,PAN,32_10
Desaprueba algo,Ninguno,32_10
Aprueba mucho,Ninguno,32_10
Desaprueba mucho,Ninguno,32_10
Desaprueba algo,Ns/Nc,32_10
Desaprueba mucho,Ninguno,32_10
Aprueba algo,PRI,32_10
Ni aprueba ni desaprueba,Morena,32_10
Desaprueba algo,Morena,32_10
Aprueba algo,PRI,32_10
Aprueba algo,PRI,32_10
Ni aprueba ni desaprueba,PAN,32_10
Ni aprueba ni desaprueba,Morena,32_10
Ni aprueba ni desaprueba,Ninguno,32_10
Desaprueba mucho,Morena,32_10
Ni aprueba ni desaprueba,PRI,32_10
Desaprueba mucho,Ninguno,32_10
Desaprueba algo,Ninguno,32_10
Desaprueba algo,PAN,32_10
Aprueba algo,PT,32_10
Ni aprueba ni desaprueba,Ninguno,32_10
Ni aprueba ni desaprueba,PRI,32_10
Desaprueba mucho,PAN,32_10
Desaprueba mucho,PRD,32_10
Desaprueba mucho,Movimiento Ciudadano,32_10
Desaprueba algo,Ninguno,32_10
Desaprueba algo,PT,32_10
Aprueba algo,PAN,32_10
Aprueba algo,PRI,32_10
Ni aprueba ni desaprueba,PT,32_10
Desaprueba algo,PRI,32_10
Desaprueba mucho,PAN,32_10
Desaprueba mucho,Morena,32_10
Desaprueba mucho,Ninguno,32_10
Aprueba algo,Morena,32_10
Aprueba algo,PAN,32_10
Ni aprueba ni desaprueba,PRI,32_10
Aprueba algo,PAN,32_10
Desaprueba algo,PRI,32_10
Desaprueba mucho,Ninguno,32_10
Desaprueba mucho,Ninguno,32_10
Desaprueba mucho,Ninguno,32_10
Ni aprueba ni desaprueba,Ninguno,32_10
Aprueba algo,Ninguno,32_10
Aprueba algo,PRI,32_10
Aprueba algo,Ninguno,32_10
Desaprueba mucho,PAN,32_10
Desaprueba algo,Ninguno,32_10
Desaprueba mucho,Morena,32_10
Aprueba algo,PRI,32_10
Aprueba algo,PRI,32_10
Desaprueba mucho,PAN,32_10
Desaprueba mucho,Ninguno,32_10
Aprueba algo,PRI,32_10
Aprueba algo,Morena,32_10
Aprueba algo,Ninguno,32_10
Desaprueba algo,Ninguno,32_10
Aprueba algo,PRD,32_10
Aprueba algo,PAN,32_11
Desaprueba algo,PT,32_11
Desaprueba mucho,Ninguno,32_11
Aprueba mucho,PRI,32_11
Desaprueba algo,PT,32_11
Desaprueba mucho,Ninguno,32_11
Aprueba algo,PRI,32_11
Desaprueba algo,Morena,32_11
Desaprueba algo,PAN,32_12
Desaprueba algo,PAN,32_12
Desaprueba algo,Ninguno,32_12
Ni aprueba ni desaprueba,PRI,32_12
Desaprueba mucho,Ninguno,32_12
Desaprueba algo,PRI,32_12
Ni aprueba ni desaprueba,Morena,32_12
Desaprueba algo,Ninguno,32_12
Aprueba algo,PAN,32_14
Desaprueba mucho,PT,32_14
Aprueba algo,PT,32_14
Desaprueba mucho,PRI,32_14
Desaprueba mucho,PAN,32_14
Desaprueba algo,PRI,32_14
Desaprueba mucho,Morena,32_14
Desaprueba mucho,Movimiento Ciudadano,32_14
Aprueba algo,PT,32_14
Desaprueba algo,PRI,32_14
Desaprueba algo,PAN,32_14
Desaprueba algo,PT,32_14
Desaprueba mucho,Ninguno,32_14
Ni aprueba ni desaprueba,PRI,32_14
Desaprueba algo,Nueva Alianza,32_14
Desaprueba mucho,Ninguno,32_14
Desaprueba mucho,PAN,32_14
Aprueba algo,PT,32_14
Aprueba algo,PRI,32_14
Desaprueba mucho,PT,32_14
Desaprueba mucho,Morena,32_14
Desaprueba algo,Nueva Alianza,32_14
Desaprueba mucho,PRD,32_14
Desaprueba mucho,Movimiento Ciudadano,32_14
Aprueba algo,PRI,32_16
Ni aprueba ni desaprueba,PT,32_16
Desaprueba algo,PT,32_16
Ni aprueba ni desaprueba,PAN,32_16
Desaprueba mucho,PAN,32_16
Desaprueba mucho,PAN,32_16
Desaprueba algo,Ninguno,32_16
Desaprueba algo,Ninguno,32_16
Desaprueba algo,PAN,32_17
Desaprueba mucho,Morena,32_17
Desaprueba mucho,PRI,32_17
Desaprueba algo,PAN,32_17
Desaprueba algo,PRI,32_17
Desaprueba algo,Morena,32_17
Desaprueba algo,PRI,32_17
Ni aprueba ni desaprueba,PRI,32_17
Desaprueba algo,PRI,32_17
Ni aprueba ni desaprueba,PRI,32_17
Aprueba algo,PRI,32_17
Ni aprueba ni desaprueba,PAN,32_17
Ni aprueba ni desaprueba,PRI,32_17
Ni aprueba ni desaprueba,Morena,32_17
Desaprueba algo,PRI,32_17
Ni aprueba ni desaprueba,Morena,32_17
Desaprueba mucho,PRI,32_17
Desaprueba mucho,PAN,32_17
Desaprueba algo,PRI,32_17
Desaprueba algo,PAN,32_17
Ni aprueba ni desaprueba,PRI,32_17
Desaprueba algo,Morena,32_17
Desaprueba algo,PRI,32_17
Ni aprueba ni desaprueba,PRI,32_17
Ni aprueba ni desaprueba,PRI,32_17
Ni aprueba ni desaprueba,Morena,32_17
Ni aprueba ni desaprueba,PRI,32_17
Desaprueba mucho,PAN,32_17
Desaprueba mucho,PRI,32_17
Desaprueba mucho,PAN,32_17
Desaprueba mucho,Morena,32_17
Desaprueba algo,PAN,32_17
Desaprueba algo,Morena,32_17
Desaprueba algo,PRI,32_17
Desaprueba mucho,PRI,32_17
Desaprueba mucho,Morena,32_17
Desaprueba mucho,PRI,32_17
Desaprueba mucho,PAN,32_17
Desaprueba algo,PT,32_17
Desaprueba algo,Morena,32_17
Ni aprueba ni desaprueba,Morena,32_17
Ni aprueba ni desaprueba,PRI,32_17
Ni aprueba ni desaprueba,PAN,32_17
Desaprueba mucho,PRI,32_17
Ni aprueba ni desaprueba,PRI,32_17
Desaprueba mucho,PRI,32_17
Ni aprueba ni desaprueba,PAN,32_17
Ni aprueba ni desaprueba,Movimiento Ciudadano,32_17
Aprueba algo,Ninguno,32_17
Ni aprueba ni desaprueba,PRI,32_17
Ni aprueba ni desaprueba,Morena,32_17
Ni aprueba ni desaprueba,PAN,32_17
Aprueba algo,PRI,32_17
Ni aprueba ni desaprueba,Ninguno,32_17
Ni aprueba ni desaprueba,Ninguno,32_17
Aprueba algo,PAN,32_17
Ni aprueba ni desaprueba,PRI,32_17
Aprueba algo,PRI,32_17
Ni aprueba ni desaprueba,Ninguno,32_17
Aprueba algo,Ninguno,32_17
Aprueba algo,PAN,32_17
Aprueba mucho,PRI,32_17
Desaprueba algo,Morena,32_17
Aprueba algo,Morena,32_17
Aprueba mucho,PRI,32_17
Aprueba algo,PRI,32_17
Desaprueba algo,PAN,32_17
Ni aprueba ni desaprueba,PRI,32_17
Ni aprueba ni desaprueba,PRI,32_17
Ni aprueba ni desaprueba,PRI,32_17
Aprueba algo,PRI,32_17
Desaprueba mucho,Ns/Nc,32_17
Aprueba mucho,PRI,32_17
Aprueba algo,PRI,32_17
Desaprueba algo,Morena,32_17
Desaprueba mucho,Morena,32_17
Aprueba algo,Morena,32_17
Ni aprueba ni desaprueba,PAN,32_17
Desaprueba mucho,Morena,32_17
Aprueba algo,Ninguno,32_17
Desaprueba mucho,Ninguno,32_17
Aprueba algo,PRI,32_17
Desaprueba algo,PRI,32_17
Desaprueba algo,Ninguno,32_17
Desaprueba mucho,PAN,32_17
Desaprueba mucho,PAN,32_17
Desaprueba mucho,PAN,32_17
Ni aprueba ni desaprueba,PAN,32_17
Aprueba mucho,PRI,32_18
Aprueba algo,PAN,32_18
Aprueba algo,Morena,32_18
Aprueba algo,Ns/Nc,32_18
Aprueba algo,Morena,32_18
Aprueba algo,PRI,32_18
Aprueba algo,PAN,32_18
Aprueba algo,Ninguno,32_18
Ni aprueba ni desaprueba,PAN,32_19
Aprueba mucho,PRI,32_19
Ni aprueba ni desaprueba,Ninguno,32_19
Aprueba algo,Morena,32_19
Aprueba algo,PRD,32_19
Aprueba mucho,PAN,32_19
Ni aprueba ni desaprueba,Ninguno,32_19
Aprueba algo,Morena,32_19
Aprueba algo,PRD,32_19
Aprueba algo,Ninguno,32_19
Aprueba algo,PRI,32_19
Aprueba algo,Ninguno,32_19
Ni aprueba ni desaprueba,PRD,32_19
Aprueba mucho,PRI,32_19
Ni aprueba ni desaprueba,Ninguno,32_19
Aprueba mucho,PRI,32_19
Aprueba algo,PRI,32_20
Desaprueba mucho,Morena,32_20
Aprueba mucho,PRI,32_20
Ni aprueba ni desaprueba,Ninguno,32_20
Desaprueba algo,PRI,32_20
Desaprueba mucho,Morena,32_20
Desaprueba mucho,Ninguno,32_20
Ni aprueba ni desaprueba,Ninguno,32_20
Desaprueba mucho,Ninguno,32_20
Aprueba algo,PRI,32_20
Desaprueba mucho,PAN,32_20
Aprueba algo,Ninguno,32_20
Desaprueba algo,PRI,32_20
Desaprueba mucho,Ninguno,32_20
Ni aprueba ni desaprueba,Ninguno,32_20
Ni aprueba ni desaprueba,Ninguno,32_20
Desaprueba mucho,PAN,32_20
Ni aprueba ni desaprueba,Morena,32_20
Ni aprueba ni desaprueba,Ninguno,32_20
Desaprueba mucho,PAN,32_20
Desaprueba mucho,Ninguno,32_20
Ni aprueba ni desaprueba,Morena,32_20
Desaprueba mucho,PAN,32_20
Aprueba algo,Ns/Nc,32_20
Desaprueba mucho,Morena,32_20
Aprueba mucho,PRI,32_20
Desaprueba mucho,PT,32_20
Desaprueba mucho,Ninguno,32_20
Desaprueba mucho,PRI,32_20
Desaprueba mucho,Ninguno,32_20
Desaprueba mucho,Ninguno,32_20
Desaprueba mucho,Ns/Nc,32_20
Ni aprueba ni desaprueba,PRI,32_20
Desaprueba mucho,Ninguno,32_20
Ns/Nc,PRI,32_20
Desaprueba mucho,Ninguno,32_20
Ni aprueba ni desaprueba,PRI,32_20
Desaprueba algo,Morena,32_20
Desaprueba algo,PRI,32_20
Desaprueba mucho,Ns/Nc,32_20
Desaprueba mucho,PAN,32_20
Aprueba mucho,PRI,32_20
Desaprueba algo,PRD,32_20
Aprueba algo,Ninguno,32_20
Desaprueba mucho,Morena,32_20
Ni aprueba ni desaprueba,Morena,32_20
Desaprueba mucho,Ninguno,32_20
Ns/Nc,Ns/Nc,32_20
Aprueba algo,PRI,32_22
Desaprueba algo,Morena,32_22
Desaprueba mucho,Ninguno,32_22
Aprueba algo,PAN,32_22
Desaprueba mucho,PT,32_22
Desaprueba mucho,PRI,32_22
Desaprueba mucho,Ninguno,32_22
Desaprueba algo,Morena,32_22
Aprueba algo,PAN,32_22
Desaprueba mucho,Morena,32_22
Desaprueba mucho,Ninguno,32_22
Desaprueba mucho,PAN,32_22
Desaprueba mucho,Ninguno,32_22
Desaprueba algo,Ninguno,32_22
Desaprueba mucho,PT,32_22
Desaprueba algo,PAN,32_22
Desaprueba mucho,PAN,32_22
Desaprueba algo,Ninguno,32_22
Desaprueba algo,PRI,32_22
Desaprueba mucho,PT,32_22
Aprueba algo,Morena,32_22
Ni aprueba ni desaprueba,PRI,32_22
Desaprueba mucho,Ninguno,32_22
Desaprueba algo,Ninguno,32_22
Aprueba algo,PRD,32_23
Aprueba mucho,PRI,32_23
Aprueba algo,PRD,32_23
Aprueba algo,Ninguno,32_23
Aprueba algo,PRI,32_23
Ni aprueba ni desaprueba,PRD,32_23
Aprueba algo,PRD,32_23
Aprueba algo,Ninguno,32_23
Desaprueba mucho,PRI,32_24
Desaprueba mucho,Morena,32_24
Desaprueba algo,Morena,32_24
Ni aprueba ni desaprueba,PRI,32_24
Desaprueba algo,Movimiento Ciudadano,32_24
Ni aprueba ni desaprueba,Morena,32_24
Desaprueba algo,Morena,32_24
Ni aprueba ni desaprueba,PRI,32_24
Aprueba algo,PRI,32_24
Aprueba algo,PAN,32_24
Aprueba algo,PAN,32_24
Desaprueba mucho,Morena,32_24
Desaprueba mucho,Morena,32_24
Desaprueba algo,Morena,32_24
Desaprueba algo,Morena,32_24
Ni aprueba ni desaprueba,Morena,32_24
Ni aprueba ni desaprueba,Morena,32_24
Desaprueba mucho,Morena,32_24
Desaprueba mucho,Morena,32_24
Ni aprueba ni desaprueba,PAN,32_24
Desaprueba algo,Morena,32_24
Desaprueba mucho,Morena,32_24
Desaprueba algo,Morena,32_24
Ni aprueba ni desaprueba,PT,32_24
Ni aprueba ni desaprueba,PVEM,32_25
Ni aprueba ni desaprueba,PAN,32_25
Desaprueba algo,PAN,32_25
Desaprueba mucho,PRD,32_25
Desaprueba algo,PAN,32_25
Ni aprueba ni desaprueba,Nueva Alianza,32_25
Ni aprueba ni desaprueba,PAN,32_25
Desaprueba mucho,Morena,32_25
Ni aprueba ni desaprueba,PRI,32_25
Aprueba algo,PAN,32_25
Desaprueba mucho,Morena,32_25
Desaprueba mucho,Morena,32_25
Aprueba algo,PRI,32_25
Aprueba mucho,PRI,32_25
Ni aprueba ni desaprueba,Ninguno,32_25
Ni aprueba ni desaprueba,Ninguno,32_25
Aprueba algo,PRI,32_26
Desaprueba mucho,PRD,32_26
Desaprueba mucho,Morena,32_26
Desaprueba mucho,PT,32_26
Ni aprueba ni desaprueba,PRI,32_26
Desaprueba algo,PRI,32_26
Desaprueba mucho,Ninguno,32_26
Desaprueba algo,Ninguno,32_26
Ni aprueba ni desaprueba,PRI,32_26
Ni aprueba ni desaprueba,PRI,32_26
Desaprueba mucho,Ninguno,32_26
Desaprueba algo,Morena,32_26
Desaprueba algo,Ninguno,32_26
Desaprueba mucho,Ninguno,32_26
Ni aprueba ni desaprueba,Ninguno,32_26
Ni aprueba ni desaprueba,PRI,32_26
Desaprueba algo,PRI,32_29
Desaprueba mucho,PAN,32_29
Desaprueba mucho,Morena,32_29
Desaprueba algo,PAN,32_29
Aprueba algo,Ninguno,32_29
Desaprueba algo,Ninguno,32_29
Desaprueba mucho,PAN,32_29
Desaprueba mucho,Morena,32_29
Desaprueba algo,PRD,32_30
Aprueba algo,PAN,32_30
Desaprueba algo,Ninguno,32_30
Desaprueba algo,PRI,32_30
Desaprueba algo,PT,32_30
Desaprueba mucho,Ninguno,32_30
Desaprueba algo,PT,32_30
Ni aprueba ni desaprueba,Ninguno,32_30
Ni aprueba ni desaprueba,PAN,32_31
Desaprueba algo,PT,32_31
Desaprueba mucho,Ninguno,32_31
Desaprueba algo,PRI,32_31
Aprueba algo,PRI,32_31
Desaprueba mucho,Ninguno,32_31
Desaprueba algo,PRD,32_31
Desaprueba algo,Ninguno,32_31
Desaprueba algo,Morena,32_32
Ni aprueba ni desaprueba,PRI,32_32
Desaprueba algo,PAN,32_32
Aprueba algo,Morena,32_32
Desaprueba algo,PRI,32_32
Desaprueba algo,Morena,32_32
Desaprueba algo,Ninguno,32_32
Ni aprueba ni desaprueba,Morena,32_32
Aprueba algo,PRI,32_34
Desaprueba algo,PT,32_34
Desaprueba mucho,Ninguno,32_34
Desaprueba algo,PAN,32_34
Desaprueba mucho,Ninguno,32_34
Aprueba algo,PT,32_34
Aprueba algo,PRI,32_34
Desaprueba algo,Ninguno,32_34
Desaprueba algo,PRI,32_34
Desaprueba algo,Ns/Nc,32_34
Aprueba algo,PAN,32_34
Desaprueba algo,PT,32_34
Desaprueba algo,PAN,32_34
Desaprueba algo,PT,32_34
Desaprueba mucho,Ninguno,32_34
Desaprueba algo,Ninguno,32_34
Aprueba mucho,Ninguno,32_35
Desaprueba algo,Ninguno,32_35
Desaprueba mucho,PT,32_35
Ns/Nc,Morena,32_35
Ni aprueba ni desaprueba,Morena,32_35
Ni aprueba ni desaprueba,PAN,32_35
Desaprueba mucho,PAN,32_35
Aprueba algo,PRI,32_35
Ni aprueba ni desaprueba,Morena,32_36
Ni aprueba ni desaprueba,PRI,32_36
Ni aprueba ni desaprueba,PAN,32_36
Ni aprueba ni desaprueba,Morena,32_36
Desaprueba algo,PAN,32_36
Ni aprueba ni desaprueba,PAN,32_36
Desaprueba algo,Morena,32_36
Ni aprueba ni desaprueba,PRI,32_36
Ni aprueba ni desaprueba,PAN,32_36
Desaprueba algo,Movimiento Ciudadano,32_36
Desaprueba algo,Morena,32_36
Ni aprueba ni desaprueba,PRI,32_36
Aprueba mucho,PRI,32_36
Ni aprueba ni desaprueba,PAN,32_36
Aprueba algo,Morena,32_36
Aprueba algo,PAN,32_36
Desaprueba algo,Morena,32_36
Desaprueba algo,PRD,32_36
Ni aprueba ni desaprueba,Morena,32_36
Aprueba mucho,PRI,32_36
Aprueba algo,PRI,32_36
Ni aprueba ni desaprueba,PRD,32_36
Aprueba algo,PRI,32_36
Ni aprueba ni desaprueba,Morena,32_36
Aprueba algo,PRI,32_36
Aprueba algo,PRI,32_36
Desaprueba algo,Morena,32_36
Desaprueba algo,Morena,32_36
Aprueba algo,PRI,32_36
Aprueba mucho,PRD,32_36
Desaprueba algo,Morena,32_36
Ni aprueba ni desaprueba,PRD,32_36
Aprueba algo,PRI,32_38
Aprueba algo,Morena,32_38
Desaprueba mucho,Morena,32_38
Desaprueba algo,PAN,32_38
Desaprueba mucho,PRI,32_38
Desaprueba mucho,PAN,32_38
Ni aprueba ni desaprueba,Morena,32_38
Ni aprueba ni desaprueba,Morena,32_38
Aprueba algo,Morena,32_38
Ni aprueba ni desaprueba,Morena,32_38
Aprueba algo,PAN,32_38
Aprueba mucho,PRI,32_38
Desaprueba algo,Morena,32_38
Aprueba mucho,PRI,32_38
Desaprueba mucho,Morena,32_38
Aprueba algo,PRI,32_38
Desaprueba algo,Morena,32_38
Aprueba algo,PAN,32_38
Desaprueba algo,PAN,32_38
Desaprueba algo,PAN,32_38
Aprueba algo,PAN,32_38
Ni aprueba ni desaprueba,PRD,32_38
Aprueba algo,PAN,32_38
Desaprueba algo,PRD,32_38
Ni aprueba ni desaprueba,PRI,32_38
Desaprueba algo,Morena,32_38
Desaprueba algo,Morena,32_38
Aprueba algo,Morena,32_38
Desaprueba algo,PRI,32_38
Ni aprueba ni desaprueba,PRI,32_38
Aprueba algo,PRD,32_38
Aprueba algo,PRI,32_38
Aprueba algo,PRI,32_38
Ni aprueba ni desaprueba,PRI,32_38
Ni aprueba ni desaprueba,PRI,32_38
Ni aprueba ni desaprueba,Morena,32_38
Desaprueba algo,PRI,32_38
Ni aprueba ni desaprueba,PAN,32_38
Desaprueba mucho,PRI,32_38
Desaprueba algo,PRI,32_38
Ni aprueba ni desaprueba,Morena,32_38
Ni aprueba ni desaprueba,Morena,32_38
Desaprueba algo,PT,32_38
Desaprueba algo,PT,32_38
Desaprueba algo,PRD,32_38
Desaprueba algo,PRD,32_38
Desaprueba algo,Morena,32_38
Ni aprueba ni desaprueba,Morena,32_38
Aprueba mucho,PRI,32_39
Aprueba algo,Ninguno,32_39
Aprueba algo,Morena,32_39
Aprueba algo,Movimiento Ciudadano,32_39
Aprueba algo,Morena,32_39
Aprueba mucho,PRI,32_39
Desaprueba algo,Morena,32_39
Desaprueba algo,Morena,32_39
Aprueba algo,PRI,32_39
Ni aprueba ni desaprueba,PAN,32_39
Ni aprueba ni desaprueba,PAN,32_39
Desaprueba algo,Ninguno,32_39
Desaprueba mucho,Morena,32_39
Desaprueba mucho,PRI,32_39
Desaprueba mucho,Ninguno,32_39
Desaprueba mucho,PAN,32_39
Desaprueba mucho,Morena,32_39
Aprueba algo,PRI,32_39
Desaprueba mucho,Ninguno,32_39
Desaprueba algo,PAN,32_39
Desaprueba algo,Morena,32_39
Aprueba algo,PRI,32_39
Ni aprueba ni desaprueba,PAN,32_39
Aprueba algo,PRI,32_39
Desaprueba algo,PRI,32_39
Desaprueba mucho,Morena,32_39
Desaprueba mucho,PAN,32_39
Desaprueba mucho,Ninguno,32_39
Desaprueba algo,Morena,32_39
Aprueba algo,PRI,32_39
Ni aprueba ni desaprueba,PAN,32_39
Ni aprueba ni desaprueba,PAN,32_39
Desaprueba algo,Morena,32_40
