percepcion,ideologia,KEY
Desaprueba algo,Ninguno,1_1
Aprueba algo,Morena mucho,1_1
Aprueba algo,PRI poco,1_1
Aprueba algo,PAN mucho,1_1
Desaprueba mucho,PVEM mucho,1_1
Aprueba algo,Nueva Alianza poco,1_1
Aprueba algo,Ninguno,1_1
Desaprueba mucho,Ninguno,1_1
Desaprueba algo,Ninguno,2_2
Ni aprueba ni desaprueba,Ninguno,2_2
Ni aprueba ni desaprueba,PRI mucho,2_2
Ni aprueba ni desaprueba,PRI mucho,2_2
Aprueba algo,Ninguno,2_2
Ni aprueba ni desaprueba,PAN poco,2_2
Aprueba mucho,PRI mucho,2_2
Aprueba algo,PRD mucho,2_2
Ni aprueba ni desaprueba,PAN poco,2_4
Desaprueba mucho,Ninguno,2_4
Ni aprueba ni desaprueba,Ninguno,2_4
Ni aprueba ni desaprueba,Ninguno,2_4
Aprueba algo,PAN mucho,2_4
Aprueba mucho,PRD mucho,2_4
Aprueba mucho,PT poco,2_4
Aprueba algo,PAN mucho,2_4
Desaprueba algo,Morena mucho,3_2
Desaprueba mucho,PAN mucho,3_2
Ni aprueba ni desaprueba,PRI mucho,3_2
Desaprueba algo,Ninguno,3_2
Desaprueba algo,Ninguno,3_2
Desaprueba algo,Ninguno,3_2
Desaprueba algo,Morena mucho,3_2
Desaprueba algo,Ninguno,3_2
Desaprueba mucho,PRD mucho,4_2
Desaprueba mucho,Morena poco,4_2
Desaprueba mucho,PRD mucho,4_2
Desaprueba mucho,PRI mucho,4_2
Desaprueba mucho,Ninguno,4_2
Desaprueba mucho,Morena mucho,4_2
Desaprueba mucho,PRD mucho,4_2
Desaprueba mucho,PVEM mucho,4_2
Desaprueba mucho,PRI mucho,4_2
Desaprueba algo,Morena mucho,4_2
Ni aprueba ni desaprueba,Morena mucho,4_2
Desaprueba algo,Ninguno,4_2
Desaprueba mucho,PAN mucho,4_2
Ni aprueba ni desaprueba,PRI mucho,4_2
Aprueba algo,Morena poco,4_2
Aprueba algo,PRD poco,4_2
Desaprueba algo,Ninguno,5_4
Ni aprueba ni desaprueba,PRI mucho,5_4
Desaprueba algo,PAN poco,5_4
Desaprueba mucho,Encuentro Social poco,5_4
Desaprueba mucho,PRI mucho,5_4
Desaprueba algo,PRI mucho,5_4
Desaprueba algo,PAN mucho,5_4
Desaprueba algo,Ninguno,5_4
Desaprueba mucho,PRI poco,5_18
Desaprueba algo,Nueva Alianza poco,5_18
Desaprueba algo,Ninguno,5_18
Desaprueba mucho,PRI poco,5_18
Desaprueba algo,Ninguno,5_18
Ni aprueba ni desaprueba,Ninguno,5_18
Desaprueba mucho,Ninguno,5_18
Desaprueba algo,Ninguno,5_18
Aprueba algo,Morena mucho,5_24
Aprueba algo,PRI poco,5_24
Aprueba mucho,Ninguno,5_24
Ni aprueba ni desaprueba,PRI mucho,5_24
Aprueba algo,PAN poco,5_24
Aprueba algo,PRD poco,5_24
Aprueba algo,PRD mucho,5_24
Ni aprueba ni desaprueba,Nueva Alianza mucho,5_24
Desaprueba algo,Ninguno,5_30
Ni aprueba ni desaprueba,Ninguno,5_30
Ni aprueba ni desaprueba,PRI poco,5_30
Desaprueba mucho,Encuentro Social mucho,5_30
Desaprueba algo,Morena mucho,5_30
Desaprueba algo,PAN mucho,5_30
Desaprueba algo,Ninguno,5_30
Desaprueba algo,PAN poco,5_30
Aprueba algo,PRI poco,6_1
