SbjNum,fecha,Clave.Ent,Entidad,Clave.Mun,KEY,Municipio,Clave.Localidad,Localidad,Clave.Sec,Clave.Manzana,PA,PB,B1,PD,P1_1,P1_2,P1_3,P1_5,P1_6,P1_7,P2_1,P2_2,P2_3,P2_5,P2_6,P2_7,P3,P3_1,P4,P5,P7,ideologia,P8,percepcion,P9,P10,P11,P12_1,P12_2,P12_4,P12_5,NIVEL,Ponderador
4407487388,07/09/2023,14,JALISCO,124,14_124,"ZAPOTLANEJO, JAL.",1,ZAPOTLANEJO,3302,12,2,19,,1,1,2,2,1,1,,1,,,2,2,,1,,1,7,4,PRI - Partido Revolucionario Institucional,2,Que siga gobernando Morena,1,3,2,3,1,1,1,1,0.45
4407508180,07/09/2023,14,JALISCO,124,14_124,"ZAPOTLANEJO, JAL.",1,ZAPOTLANEJO,3302,12,2,38,,1,1,1,2,2,1,,2,2,,,2,,1,,1,1,3,PAN - Partido Acción Nacional,1,Que haya un cambio de partido en el gobierno,2,1,1,2,2,2,2,5,1.2
4407580319,07/09/2023,14,JALISCO,98,14_98,"TLAJOMULCO DE ZUÑIGA, JAL.",182,FRACC LOMAS DE SAN AGUSTIN,3588,6,2,36,,1,1,1,1,1,1,,2,2,3,2,2,,1,,1,7,1,MORENA,7,Que siga gobernando Morena,1,98,2,3,2,2,1,1,0.41
4407498257,07/09/2023,14,JALISCO,124,14_124,"ZAPOTLANEJO, JAL.",1,ZAPOTLANEJO,3302,28,1,41,,1,1,1,1,1,1,,3,3,3,3,2,,3,,1,1,7,PAN - Partido Acción Nacional,1,Que haya un cambio de partido en el gobierno,2,2,3,2,2,2,2,3,0.84
4407446093,07/09/2023,15,MEXICO,43,15_43,"IXTLAHUACA, MEX.",5,SAN LORENZO TOXICO,2229,1,1,32,,1,1,2,1,2,1,,2,,2,,2,,98,,2,7,2,Ninguno,97,Que siga gobernando Morena,1,2,1,1,1,1,2,7,3.74
4407529464,07/09/2023,14,JALISCO,75,14_75,"SAN JUAN DE LOS LAGOS, JAL.",1,SAN JUAN DE LOS LAGOS,2068,26,2,34,,1,1,1,1,2,1,,2,3,3,,3,,1,,1,1,2,MORENA,7,Que siga gobernando Morena,1,98,3,2,2,2,1,4,0.93
4407586478,07/09/2023,16,MICHOACAN,103,16_103,"URUAPAN, MICH.",1,URUAPAN DEL PROGRESO,2210,28,1,43,,1,1,1,1,1,1,,3,1,3,2,3,,1,,2,6,7,MC - Movimiento Ciudadano,6,Que haya un cambio de partido en el gobierno,2,1,1,3,3,3,97,3,0.84
4407600921,07/09/2023,14,JALISCO,98,14_98,"TLAJOMULCO DE ZUÑIGA, JAL.",182,FRACC LOMAS DE SAN AGUSTIN,3588,6,1,32,,1,1,1,1,1,1,,4,2,4,2,3,,1,,2,6,7,MC - Movimiento Ciudadano,6,Que haya un cambio de partido en el gobierno,2,98,1,3,3,3,97,2,0.71
4407573831,07/09/2023,16,MICHOACAN,54,16_54,"MORELIA, MICH.",1,MORELIA,1206,5,2,36,,1,1,2,1,1,1,,2,,2,4,3,,3,,1,7,2,MORENA,7,Que siga gobernando Morena,1,2,2,1,1,1,1,1,0.41
4407537960,07/09/2023,14,JALISCO,75,14_75,"SAN JUAN DE LOS LAGOS, JAL.",1,SAN JUAN DE LOS LAGOS,2068,95,2,34,,1,1,1,1,1,1,,2,2,3,2,3,,3,,1,7,2,MORENA,7,Que siga gobernando Morena,1,3,2,1,1,1,1,3,0.76
4407470191,07/09/2023,14,JALISCO,124,14_124,"ZAPOTLANEJO, JAL.",1,ZAPOTLANEJO,3302,12,1,39,,1,1,1,2,1,1,,2,2,,4,3,,3,,1,7,2,MORENA,7,Que siga gobernando Morena,1,2,1,1,1,1,1,4,1.03
4407595727,07/09/2023,14,JALISCO,72,14_72,"EL SALTO, JAL.",2,LAS PINTAS,2033,12,2,20,,1,1,1,2,1,1,,2,2,,2,3,,3,,1,98,4,PVEM – Partido Verde Ecologista de México,5,Que haya un cambio de partido en el gobierno,2,2,1,3,1,1,1,5,1.34
4407567885,07/09/2023,15,MEXICO,38,15_38,"HUIXQUILUCAN, MEX.",1,HUIXQUILUCAN DE DEGOLLADO,2048,34,2,33,,1,1,2,1,2,1,,2,,2,,4,,98,,2,7,2,Ninguno,97,No sabe,98,2,3,1,1,3,2,2,0.63
4407614674,07/09/2023,15,MEXICO,43,15_43,"IXTLAHUACA, MEX.",5,SAN LORENZO TOXICO,2229,1,1,45,,1,1,2,1,1,2,,2,,2,1,,,3,,2,7,2,Ninguno,97,Que siga gobernando Morena,1,98,2,1,1,1,2,2,0.66
4407554508,07/09/2023,15,MEXICO,38,15_38,"HUIXQUILUCAN, MEX.",1,HUIXQUILUCAN DE DEGOLLADO,2048,34,2,28,,1,1,2,1,1,2,,2,,2,2,,,3,,2,7,2,Ninguno,97,Que siga gobernando Morena,1,2,2,1,1,1,2,1,0.49
4407479005,07/09/2023,14,JALISCO,124,14_124,"ZAPOTLANEJO, JAL.",1,ZAPOTLANEJO,3302,28,1,30,,1,1,2,1,1,2,,2,,2,2,,,3,,2,1,5,PRI - Partido Revolucionario Institucional,2,Que haya un cambio de partido en el gobierno,2,2,2,3,3,3,1,3,0.85
4407610201,07/09/2023,14,JALISCO,75,14_75,"SAN JUAN DE LOS LAGOS, JAL.",1,SAN JUAN DE LOS LAGOS,2068,26,1,39,,1,1,1,1,1,2,,4,2,3,1,,,3,,2,6,7,MC - Movimiento Ciudadano,6,Que haya un cambio de partido en el gobierno,2,1,1,3,3,3,2,3,0.84
4407604840,07/09/2023,14,JALISCO,75,14_75,"SAN JUAN DE LOS LAGOS, JAL.",1,SAN JUAN DE LOS LAGOS,2068,95,2,30,,1,1,2,1,1,2,,1,,3,2,,,97,,2,7,2,MORENA,7,Que siga gobernando Morena,1,2,2,1,1,1,1,3,0.76
4407615618,07/09/2023,16,MICHOACAN,103,16_103,"URUAPAN, MICH.",1,URUAPAN DEL PROGRESO,2210,66,2,26,,1,1,1,2,1,2,,2,2,,2,,,98,,2,1,2,MORENA,7,Que haya un cambio de partido en el gobierno,2,2,1,2,2,2,1,1,0.49
4408761040,07/09/2023,16,MICHOACAN,85,16_85,"TANGAMANDAPIO, MICH.",3,TARECUATO,1909,64,2,29,,1,1,1,2,2,1,2,2,2,,,1,,3,1,2,2,7,PRI - Partido Revolucionario Institucional,2,Que haya un cambio de partido en el gobierno,2,2,1,2,2,2,2,2,0.63
189940281,07/09/2023,18,NAYARIT,4,18_4,"BAHIA DE BANDERAS, NAY.",1,MEZCALES,972,63,2,41,,1,1,1,2,2,1,2,2,2,,,1,,98,1,97,97,3,MORENA,7,Que haya un cambio de partido en el gobierno,2,1,2,1,2,1,1,6,1.75
9230125,07/09/2023,8,CHIHUAHUA,19,8_19,"CHIHUAHUA, CHIH.",1,CHIHUAHUA,548,11,2,45,,1,1,2,1,1,1,1,3,,4,2,2,4,1,1,2,7,2,MORENA,7,Que siga gobernando Morena,1,2,3,1,1,1,1,3,0.57
189835686,07/09/2023,30,VERACRUZ,192,30_192,"VERACRUZ, VER.",8,LAS AMAPOLAS,4497,296,1,67,,1,1,1,1,2,1,,2,2,4,,2,,1,1,99,7,2,MORENA,7,Que siga gobernando Morena,1,2,1,1,3,1,1,6,1.25
189836703,07/09/2023,2,BAJA CALIFORNIA,5,2_5,"PLAYAS DE ROSARITO, B.C.",4,POBLADO ROSARITO,1263,56,1,47,,1,2,1,2,2,1,,,2,,,2,,1,1,2,7,2,MORENA,7,Que siga gobernando Morena,1,1,2,1,3,1,1,1,0.51
9230020,07/09/2023,8,CHIHUAHUA,19,8_19,"CHIHUAHUA, CHIH.",1,CHIHUAHUA,548,11,2,19,,1,2,2,1,2,1,,,,3,,2,,1,1,1,7,1,NS / NR,98,Que siga gobernando Morena,1,2,2,1,1,1,2,4,0.86
9230040,07/09/2023,6,COLIMA,1,6_1,"COLIMA, COL.",1,COLIMA,43,42,2,24,,1,1,1,1,1,1,,4,4,5,4,2,,1,1,2,6,7,MC - Movimiento Ciudadano,6,Que haya un cambio de partido en el gobierno,2,3,2,1,2,2,2,3,0.7
4408429145,07/09/2023,14,JALISCO,72,14_72,"EL SALTO, JAL.",2,LAS PINTAS,2033,35,2,22,,1,1,2,2,2,1,2,1,,,,2,,1,1,2,1,4,MC - Movimiento Ciudadano,6,Que haya un cambio de partido en el gobierno,2,2,3,1,3,2,1,4,0.86
169523018,07/09/2023,32,ZACATECAS,48,32_48,"TLALTENANGO DE SANCHEZ ROMAN, ZAC.",1,TLALTENANGO DE SANCHEZ ROMAN,1498,22,2,50,5,1,1,2,1,2,1,2,4,,4,,2,,1,1,1,1,7,PAN - Partido Acción Nacional,1,Que haya un cambio de partido en el gobierno,2,3,3,2,2,2,2,1,0.37
189828497,07/09/2023,1,AGUASCALIENTES,5,1_5,"JESUS MARIA, AGS.",1,JESUS MARIA,394,80,2,49,,1,1,1,1,1,1,,5,2,3,99,2,,1,1,2,6,7,PAN - Partido Acción Nacional,1,Que haya un cambio de partido en el gobierno,2,2,2,2,3,2,2,2,0.48
189835954,07/09/2023,2,BAJA CALIFORNIA,5,2_5,"PLAYAS DE ROSARITO, B.C.",4,POBLADO ROSARITO,1263,56,1,98,3,1,1,1,1,1,1,,4,2,4,4,2,,1,1,1,1,7,PRI - Partido Revolucionario Institucional,2,Que haya un cambio de partido en el gobierno,2,1,2,2,2,2,1,3,0.85
9230113,07/09/2023,8,CHIHUAHUA,37,8_37,"JUAREZ, CHIH.",1,JUAREZ,2829,26,2,44,,1,1,2,1,2,1,1,3,,4,,2,4,1,1,1,6,2,PVEM – Partido Verde Ecologista de México,5,Que haya un cambio de partido en el gobierno,2,2,1,2,2,2,2,3,0.62
9230022,07/09/2023,2,BAJA CALIFORNIA,1,2_1,"ENSENADA, B.C.",1,ENSENADA,89,12,2,33,,1,2,2,1,2,1,,,,4,,2,,1,1,1,2,5,MORENA,7,Que siga gobernando Morena,1,2,2,2,2,2,1,3,0.76
189882717,07/09/2023,15,MEXICO,105,15_105,"TLALNEPANTLA DE BAZ, MEX.",1,TLALNEPANTLA DE BAZ,4939,36,1,21,,1,1,2,1,1,1,2,2,,4,4,2,,1,1,2,7,1,MORENA,7,Que siga gobernando Morena,1,1,1,2,2,2,1,1,0.55
189823485,07/09/2023,9,CIUDAD DE MEXICO,12,9_12,"TLALPAN, CDMX",1,CIUDAD DE MEXICO,3979,12,2,27,,1,1,2,1,1,1,,5,,4,4,2,,1,1,1,1,7,Ninguno,97,Que haya un cambio de partido en el gobierno,2,3,2,2,2,2,2,3,0.76
9230081,07/09/2023,8,CHIHUAHUA,60,8_60,"SANTA BARBARA, CHIH.",1,SANTA BARBARA,2583,76,2,35,,1,1,2,1,2,1,1,1,,3,,2,2,1,1,1,7,2,MORENA,7,Que siga gobernando Morena,1,2,1,2,2,3,1,2,0.52
